Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
90027,CA,5.0,,06/27/2012,34.12,-118.28,5;83,Los Angeles,6037
90068,CA,5.0,,10/13/1997,34.13,-118.33,6;02,Los Angeles,6037
91207,CA,5.0,,10/13/1997,34.18,-118.25,5;85,Los Angeles,6037
93552,CA,5.0,,5/5/2014,34.50,-118.01,7;85,Los Angeles,6037
90278,CA,5.0,,5/6/2013,33.87,-118.37,5;24,Los Angeles,6037
91790,CA,5.0,,3/10/2014,34.06,-117.94,5;63,Los Angeles,6037
93536,CA,5.0,,1/6/2014,34.72,-118.48,7;33,Los Angeles,6037
94301,CA,5.0,21000.0,10/13/1997,37.44,-122.15,5;40,Santa Clara,6085
92307,CA,5.0,0.0,12/10/2013,34.57,-117.15,8;17,San Bernardino,6071
95603,CA,5.0,42769.7,12/12/2006,38.92,-121.07,5;86,Placer,6061
95404,CA,5.0,43780.0,9/8/2006,38.45,-122.68,5;50,Sonoma,6097
95993,CA,5.0,41750.0,11/30/2006,39.05,-121.73,5;71,Sutter,6101
92308,CA,5.0,26415.21,02/20/2014,34.42,-117.14,8;06,San Bernardino,6071
92308,CA,5.0,24589.0,08/27/2013,34.42,-117.14,8;06,San Bernardino,6071
92311,CA,5.0,24500.0,1/9/2014,34.97,-116.99,8;21,San Bernardino,6071
92311,CA,5.0,24500.0,01/16/2014,34.97,-116.99,8;21,San Bernardino,6071
92311,CA,5.0,0.0,12/11/2013,34.97,-116.99,8;21,San Bernardino,6071
92311,CA,5.0,24500.0,01/29/2014,34.97,-116.99,8;21,San Bernardino,6071
95333,CA,5.0,40581.0,11/2/2006,37.25,-120.20,5;91,Merced,6047
95370,CA,5.0,45782.0,04/27/2007,37.98,-120.39,6;16,Tuolumne,6109
95073,CA,5.0,35591.12,01/16/2007,37.02,-121.94,5;28,Santa Cruz,6087
94025,CA,5.0,40798.38,04/13/2007,37.45,-122.17,5;44,San Mateo,6081
95490,CA,5.0,43200.0,7/2/2007,39.49,-123.36,5;84,Mendocino,6045
92316,CA,5.0,46875.0,1/12/2012,34.06,-117.39,6;26,San Bernardino,6071
92335,CA,5.0,24500.0,01/29/2014,34.08,-117.46,6;24,San Bernardino,6071
92336,CA,5.0,21538.8,11/8/2013,34.14,-117.45,6;63,San Bernardino,6071
92336,CA,5.0,37500.0,12/28/2011,34.14,-117.45,6;63,San Bernardino,6071
92336,CA,5.0,23100.0,11/6/2013,34.14,-117.45,6;63,San Bernardino,6071
92336,CA,5.0,24480.0,04/22/2013,34.14,-117.45,6;63,San Bernardino,6071
92336,CA,5.0,19300.0,12/12/2013,34.14,-117.45,6;63,San Bernardino,6071
92336,CA,5.0,37500.0,10/24/2011,34.14,-117.45,6;63,San Bernardino,6071
92336,CA,5.0,24500.0,1/10/2014,34.14,-117.45,6;63,San Bernardino,6071
92336,CA,5.0,24500.0,1/7/2014,34.14,-117.45,6;63,San Bernardino,6071
