Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
92111,CA,0.062,646.75,11/30/2001,32.80,-117.16,5;80,San Diego,6073
92111,CA,0.066,646.75,11/30/2001,32.80,-117.16,5;80,San Diego,6073
92648,CA,0.106,2217.0,07/20/2006,33.67,-118.00,5;12,Orange,51137
91765,CA,0.108,1036.0,03/28/2000,33.99,-117.81,5;76,Los Angeles,6037
92648,CA,0.114,2217.0,07/20/2006,33.67,-118.00,5;12,Orange,51137
91765,CA,0.1152,1036.0,03/28/2000,33.99,-117.81,5;76,Los Angeles,6037
95422,CA,0.12,1761.0,03/20/2002,38.96,-122.64,6;08,Lake,47095
92028,CA,0.12,1153.38,4/12/2002,33.39,-117.29,6;01,San Diego,6073
90638,CA,0.187,2843.5,3/5/2001,33.90,-118.00,5;51,Los Angeles,6037
95490,CA,0.2,1155.0,02/21/2002,39.49,-123.36,5;84,Mendocino,6045
90638,CA,0.2004,2843.5,3/5/2001,33.90,-118.00,5;51,Los Angeles,6037
96033,CA,0.208,,7/11/2002,40.73,-122.60,6;26,Shasta,6089
91006,CA,0.218,3322.6,01/20/2000,34.13,-118.02,6;26,Los Angeles,6037
92604,CA,0.222,1275.8,10/3/2000,33.69,-117.78,5;52,Orange,51137
93306,CA,0.222,1472.16,01/31/2002,35.43,-118.83,6;41,Kern,6029
95946,CA,0.23,1073.75,07/27/2007,39.18,-121.20,5;96,Nevada,6057
91006,CA,0.234,3322.6,01/20/2000,34.13,-118.02,6;26,Los Angeles,6037
92604,CA,0.2376,1275.8,10/3/2000,33.69,-117.78,5;52,Orange,51137
93309,CA,0.24,4785.34,5/7/2002,35.34,-119.07,6;01,Kern,6029
93561,CA,0.24,,03/21/2002,35.12,-118.51,7;09,Kern,6029
93561,CA,0.256,2560.0,05/14/2003,35.12,-118.51,7;09,Kern,6029
95521,CA,0.267,1513.72,09/24/2003,40.85,-124.05,4;06,Humboldt,32013
95521,CA,0.273,2891.11,3/5/2003,40.85,-124.05,4;06,Humboldt,32013
95521,CA,0.278,3366.0,11/1/1999,40.85,-124.05,4;06,Humboldt,32013
95008,CA,0.278,1989.59,9/10/2002,37.28,-121.95,5;87,Santa Clara,6085
95528,CA,0.281,1905.0,10/23/2001,40.48,-123.95,4;71,Humboldt,32013
92399,CA,0.284,2777.0,05/15/2000,34.04,-117.01,7;24,San Bernardino,6071
92646,CA,0.284,2612.2,12/6/2000,33.66,-117.97,5;10,Orange,51137
95959,CA,0.289,4578.92,2/1/2002,39.34,-120.87,6;40,Nevada,6057
92595,CA,0.29,2151.75,11/1/1999,33.62,-117.25,6;38,Riverside,6065
95521,CA,0.2928,2891.11,3/5/2003,40.85,-124.05,4;06,Humboldt,32013
94110,CA,0.293,4072.0,9/8/1998,37.74,-122.41,4;05,San Francisco,0
93561,CA,0.293,1960.93,09/23/1998,0,0,0,0,6029
95008,CA,0.2976,1989.59,9/10/2002,35.12,-118.51,7;09,Kern,6085
95521,CA,0.2976,3366.0,11/1/1999,37.28,-121.95,5;87,Santa Clara,32013
92832,CA,0.3,4900.0,10/30/2002,40.85,-124.05,4;06,Humboldt,51137
95822,CA,0.3,,09/22/2009,33.86,-117.92,5;54,Orange,6067
91604,CA,0.3,2332.0,06/19/2001,38.51,-121.49,5;70,Sacramento,6037
95959,CA,0.3,4578.92,2/1/2002,34.13,-118.39,6;04,Los Angeles,6057
95521,CA,0.3,1513.72,09/24/2003,39.34,-120.87,6;40,Nevada,32013
95528,CA,0.3012,1905.0,10/23/2001,40.85,-124.05,4;06,Humboldt,32013
93651,CA,0.302,5035.0,10/25/2001,40.48,-123.95,4;71,Humboldt,6019
92646,CA,0.30456,2612.2,12/6/2000,37.00,-119.50,6;22,Fresno,51137
92399,CA,0.3048,2777.0,05/15/2000,33.66,-117.97,5;10,Orange,6071
92277,CA,0.305,3805.62,12/19/2000,34.04,-117.01,7;24,San Bernardino,6071
92595,CA,0.3108,2151.75,11/1/1999,34.24,-115.86,7;84,San Bernardino,6065
94110,CA,0.3144,4072.0,9/8/1998,33.62,-117.25,6;38,Riverside,0
93651,CA,0.324,5035.0,10/25/2001,37.74,-122.41,4;05,San Francisco,6019
92277,CA,0.32724,3805.62,12/19/2000,0,0,0,0,6071
94603,CA,0.336,2381.5,07/25/2001,37.00,-119.50,6;22,Fresno,6001
93308,CA,0.34,2200.0,7/3/2007,34.24,-115.86,7;84,San Bernardino,6029
90603,CA,0.34,2788.0,05/24/2006,37.73,-122.17,5;11,Alameda,6037
92126,CA,0.34,5902.85,5/2/2002,35.54,-118.91,6;30,Kern,6073
93103,CA,0.356,3221.45,10/11/2001,33.94,-117.99,5;53,Los Angeles,6083
94603,CA,0.359928,2381.5,07/25/2001,32.88,-117.13,5;80,San Diego,6001
95524,CA,0.36,2185.0,01/28/2008,34.43,-119.68,6;05,Santa Barbara,32013
94116,CA,0.36,4449.0,8/2/2002,37.73,-122.17,5;11,Alameda,0
92127,CA,0.375,4005.38,05/22/2006,40.81,-124.01,4;24,Humboldt,6073
93446,CA,0.379,2531.1,11/2/1999,37.74,-122.48,4;14,San Francisco,6079
93240,CA,0.379,5061.0,01/20/2000,0,0,0,0,6029
93103,CA,0.38124,3221.45,10/11/2001,33.02,-117.12,5;91,San Diego,6083
93560,CA,0.384,3473.0,3/5/2004,35.61,-120.76,6;77,San Luis Obispo,6029
92707,CA,0.39,,02/25/2013,35.64,-118.46,7;52,Kern,51137
94973,CA,0.403,7717.0,05/15/2002,34.43,-119.68,6;05,Santa Barbara,6041
93446,CA,0.4056,2531.1,11/2/1999,34.92,-118.40,7;65,Kern,6079
92084,CA,0.413,5609.42,06/19/2001,33.71,-117.87,5;49,Orange,6073
95336,CA,0.416,2680.0,8/10/2007,38.00,-122.64,5;07,Marin,6077
94706,CA,0.424,3394.0,11/1/1999,35.61,-120.76,6;77,San Luis Obispo,6001
92653,CA,0.426,4015.0,06/17/2002,33.21,-117.20,5;79,San Diego,51137
94513,CA,0.431,11423.0,12/24/1998,37.83,-121.18,5;80,San Joaquin,6013
94973,CA,0.4314,7717.0,05/15/2002,37.88,-122.29,5;07,Alameda,6041
93614,CA,0.435,7153.05,6/3/1999,33.60,-117.71,5;47,Orange,6039
93451,CA,0.436,5450.0,01/14/2002,37.87,-121.68,5;65,Contra Costa,6079
92114,CA,0.436,8460.0,7/12/2001,38.00,-122.64,5;07,Marin,6073
93561,CA,0.438,2675.0,11/1/1999,37.17,-119.71,6;29,Madera,6029
94062,CA,0.438,4890.86,04/27/2000,35.89,-120.60,6;82,San Luis Obispo,6081
95633,CA,0.44,10201.85,07/31/2003,32.71,-117.05,6;06,San Diego,6017
93940,CA,0.44,2009.56,04/27/2006,35.12,-118.51,7;09,Kern,6053
92084,CA,0.442668,5609.42,06/19/2001,37.40,-122.29,4;99,San Mateo,6073
94086,CA,0.445,4570.0,6/3/1999,38.84,-120.83,6;07,El Dorado,6085
95073,CA,0.445,2230.42,07/25/2001,36.60,-121.88,4;93,Monterey,6087
93635,CA,0.445,3743.36,2/1/2002,33.21,-117.20,5;79,San Diego,6047
92673,CA,0.445,4037.0,01/17/2002,37.36,-122.02,5;77,Santa Clara,51137
