ZIP,State,Annual Average (kWh/m2/day)
1001,MA,3;68
1002,MA,3;64
1003,MA,3;54
1005,MA,3;73
1007,MA,3;65
1008,MA,3;80
1009,MA,3;67
1010,MA,3;76
1011,MA,3;75
1012,MA,3;77
1013,MA,3;67
1020,MA,3;67
1022,MA,3;66
1026,MA,3;77
1027,MA,3;78
1028,MA,3;69
1029,MA,3;83
1030,MA,3;68
1031,MA,3;66
1032,MA,3;79
1033,MA,3;60
1034,MA,3;82
1035,MA,3;63
1036,MA,3;72
1037,MA,3;62
1038,MA,3;65
1039,MA,3;79
1040,MA,3;67
1050,MA,3;80
1053,MA,3;78
1054,MA,3;64
1056,MA,3;67
1057,MA,3;75
1060,MA,3;65
1062,MA,3;75
1063,MA,3;72
1068,MA,3;74
1069,MA,3;69
1070,MA,3;76
1071,MA,3;81
1072,MA,3;75
1073,MA,3;74
1075,MA,3;61
1077,MA,3;74
1079,MA,3;71
1080,MA,3;71
1081,MA,3;77
1082,MA,3;63
1083,MA,3;72
1084,MA,3;77
1085,MA,3;75
1088,MA,3;74
1089,MA,3;68
1092,MA,3;70
1094,MA,3;70
1095,MA,3;69
1096,MA,3;80
1098,MA,3;72
1103,MA,3;70
1104,MA,3;69
1105,MA,3;70
1106,MA,3;68
1107,MA,3;69
1108,MA,3;71
1109,MA,3;70
1118,MA,3;69
1119,MA,3;69
1128,MA,3;69
1129,MA,3;68
1144,MA,3;69
1151,MA,3;69
1201,MA,3;59
1220,MA,3;59
1222,MA,3;69
1223,MA,3;71
1224,MA,3;56
1225,MA,3;57
1226,MA,3;62
1229,MA,3;65
1230,MA,3;69
1235,MA,3;68
1236,MA,3;64
1237,MA,3;55
1238,MA,3;66
1240,MA,3;61
1242,MA,3;62
1243,MA,3;74
1245,MA,3;71
1247,MA,3;61
1253,MA,3;78
1254,MA,3;64
1255,MA,3;77
1256,MA,3;69
1257,MA,3;69
1258,MA,3;70
1259,MA,3;69
1262,MA,3;64
1264,MA,3;69
1266,MA,3;65
1267,MA,3;58
1270,MA,3;67
1301,MA,3;66
1330,MA,3;79
1331,MA,3;77
1337,MA,3;66
1338,MA,3;76
1339,MA,3;74
1340,MA,3;74
1341,MA,3;78
1342,MA,3;62
1343,MA,3;65
1344,MA,3;67
1346,MA,3;77
1347,MA,3;57
1349,MA,3;65
1350,MA,3;64
1351,MA,3;67
1354,MA,3;62
1355,MA,3;70
1360,MA,3;64
1364,MA,3;72
1366,MA,3;70
1367,MA,3;71
1368,MA,3;77
1370,MA,3;74
1373,MA,3;69
1375,MA,3;57
1376,MA,3;59
1378,MA,3;67
1379,MA,3;70
1380,MA,3;76
1420,MA,3;86
1430,MA,3;88
1431,MA,3;94
1432,MA,3;74
1434,MA,3;74
1436,MA,3;81
1440,MA,3;84
1450,MA,3;81
1451,MA,3;76
1452,MA,3;82
1453,MA,3;84
1460,MA,3;77
1462,MA,3;82
1463,MA,3;85
1464,MA,3;81
1468,MA,3;81
1469,MA,3;90
1473,MA,3;87
1474,MA,3;92
1475,MA,3;82
1501,MA,3;80
1503,MA,3;78
1504,MA,3;78
1505,MA,3;78
1506,MA,3;77
1507,MA,3;79
1510,MA,3;78
1515,MA,3;79
1516,MA,3;76
1518,MA,3;80
1519,MA,3;78
1520,MA,3;80
1521,MA,3;80
1522,MA,3;84
1523,MA,3;78
1524,MA,3;80
1527,MA,3;80
1529,MA,3;78
1531,MA,3;69
1532,MA,3;79
1534,MA,3;78
1535,MA,3;74
1536,MA,3;79
1537,MA,3;81
1540,MA,3;76
1541,MA,3;85
1542,MA,3;80
1543,MA,3;82
1545,MA,3;78
1550,MA,3;79
1560,MA,3;78
1562,MA,3;79
1564,MA,3;82
1566,MA,3;80
1568,MA,3;78
1569,MA,3;79
1570,MA,3;71
1571,MA,3;75
1581,MA,3;79
1583,MA,3;82
1585,MA,3;72
1588,MA,3;78
1590,MA,3;76
1602,MA,3;80
1603,MA,3;79
1604,MA,3;81
1605,MA,3;80
1606,MA,3;80
1607,MA,3;80
1608,MA,3;80
1609,MA,3;81
1610,MA,3;80
1611,MA,3;79
1612,MA,3;80
1701,MA,3;76
1702,MA,3;76
1718,MA,3;80
1719,MA,3;78
1720,MA,3;79
1721,MA,3;78
1730,MA,3;79
1731,MA,3;75
1740,MA,3;79
1741,MA,3;79
1742,MA,3;78
1745,MA,3;78
1746,MA,3;77
1747,MA,3;78
1748,MA,3;77
1749,MA,3;79
1752,MA,3;79
1754,MA,3;79
1756,MA,3;78
1757,MA,3;78
1760,MA,3;75
1770,MA,3;77
1772,MA,3;79
1773,MA,3;77
1775,MA,3;79
1776,MA,3;77
1778,MA,3;76
1801,MA,3;80
1803,MA,3;80
1805,MA,3;75
1810,MA,3;85
1821,MA,3;81
1824,MA,3;81
1826,MA,3;84
1827,MA,3;84
1830,MA,3;93
1832,MA,3;94
1833,MA,3;84
1834,MA,3;87
1835,MA,3;89
1840,MA,3;91
1841,MA,3;89
1843,MA,3;89
1844,MA,3;87
1845,MA,3;86
1850,MA,3;81
1851,MA,3;82
1852,MA,3;81
1854,MA,3;82
1860,MA,3;92
1862,MA,3;81
1863,MA,3;83
1864,MA,3;83
1867,MA,3;82
1876,MA,3;84
1879,MA,3;84
1880,MA,3;81
1886,MA,3;80
1887,MA,3;85
1890,MA,3;79
1901,MA,3;70
1902,MA,3;70
1904,MA,3;75
1905,MA,3;75
1906,MA,3;75
1907,MA,3;71
1908,MA,3;70
1913,MA,3;93
1915,MA,3;70
1921,MA,3;84
1922,MA,3;90
1923,MA,3;79
1929,MA,3;73
1930,MA,3;72
1938,MA,3;82
1940,MA,3;77
1944,MA,3;69
1945,MA,3;71
1949,MA,3;78
1950,MA,3;92
1951,MA,3;92
1952,MA,3;93
1960,MA,3;74
1965,MA,3;69
1966,MA,3;76
1969,MA,3;84
1970,MA,3;71
1982,MA,3;74
1983,MA,3;79
1984,MA,3;77
1985,MA,3;90
2019,MA,3;78
2021,MA,3;81
2025,MA,3;59
2026,MA,3;81
2030,MA,3;79
2032,MA,3;81
2035,MA,3;80
2038,MA,3;78
2043,MA,3;65
2045,MA,3;69
2047,MA,3;66
2048,MA,3;80
2050,MA,3;74
2051,MA,3;76
2052,MA,3;79
2053,MA,3;78
2054,MA,3;78
2056,MA,3;79
2061,MA,3;74
2062,MA,3;81
2066,MA,3;67
2067,MA,3;80
2071,MA,3;79
2072,MA,3;82
2081,MA,3;79
2090,MA,3;81
2093,MA,3;79
2108,MA,3;79
2109,MA,3;79
2110,MA,3;79
2111,MA,3;79
2113,MA,3;79
2114,MA,3;79
2115,MA,3;74
2116,MA,3;79
2118,MA,3;79
2119,MA,3;74
2120,MA,3;74
2121,MA,3;82
2122,MA,3;82
2124,MA,3;82
2125,MA,3;79
2126,MA,3;82
2127,MA,3;83
2128,MA,3;83
2129,MA,3;79
2130,MA,3;78
2131,MA,3;78
2132,MA,3;75
2134,MA,3;74
2135,MA,3;69
2136,MA,3;82
2138,MA,3;69
2139,MA,3;74
2140,MA,3;74
2141,MA,3;79
2142,MA,3;79
2143,MA,3;74
2144,MA,3;74
2145,MA,3;76
2148,MA,3;78
2149,MA,3;79
