INCITS,Zipcode,Radiation
46135,57078,3;92
42087,17099,4;27
12019,76377,3;94
12015,33983,3;74
12017,34465,3;65
20151,67134,4;41
20155,67583,4;33
13053,31805,3;62
13057,75976,3;64
5059,72104,3;66
5055,72474,3;67
5051,72087,3;66
5053,99357,3;69
8035,98858,4;02
8037,81658,4;06
8031,80294,4;02
8033,81332,4;00
8039,80835,4;10
16001,83725,3;42
48209,78676,3;59
48201,77598,3;59
48207,79548,3;57
48205,79044,3;61
35057,88321,4;29
35055,87580,4;28
35053,87832,4;32
35051,96126,4;36
55129,54888,4;03
55121,54773,4;08
55123,71461,4;06
55125,54561,4;08
55127,57631,4;08
27009,99353,4;49
27007,56685,4;43
49055,84775,3;64
49057,84414,3;56
49051,84082,3;56
49053,97229,3;59
48017,79347,3;60
48015,78950,3;59
40069,74856,4;00
40061,79548,4;01
40067,98376,4;04
40065,97541,4;05
38039,58484,4;30
38037,99357,4;34
47041,64497,3;98
47043,37187,3;98
39071,45155,4;47
39073,43158,4;42
39079,97541,4;44
13321,64499,3;63
20121,66071,4;37
20129,67954,4;30
41071,97396,3;97
29045,98686,4;60
29047,76377,4;65
31069,69154,4;60
31067,68466,4;68
31065,69046,4;66
31063,69042,4;58
31061,99343,4;64
51640,24333,4;51
56017,82443,4;05
56011,97754,4;06
56013,83451,4;12
56019,82834,4;17
18101,79783,3;73
18103,66071,3;74
18109,84050,3;73
30075,59345,4;38
30071,80746,4;38
30079,72064,4;44
19053,67749,3;94
19055,74359,3;94
19057,52660,3;94
21157,73446,4;01
21155,97392,4;00
21153,41632,4;03
53073,98295,3;81
13157,97541,3;59
13155,31798,3;53
13153,75858,3;71
13159,77612,3;57
37023,58773,4;18
37025,28124,4;18
37027,78661,4;11
37029,65787,4;18
45053,77612,3;94
36039,72474,4;56
36031,22560,4;58
36033,99343,4;52
36035,72583,4;54
36037,48554,4;53
19151,50593,4;04
19153,97371,4;00
12121,32094,3;84
12123,79699,3;71
12125,97883,3;63
48367,76490,3;59
48093,76474,3;60
48091,78623,3;59
45065,29899,3;87
45067,97392,3;91
45069,29596,3;92
26141,49779,3;70
26143,48656,3;72
26149,49099,3;61
2050,99680,3;74
30069,59087,4;36
48051,77879,3;56
42031,16334,4;24
42035,64493,4;26
42039,72956,4;24
55017,56295,4;05
55011,68876,4;10
55013,54893,4;02
55019,98686,4;03
1053,36543,3;78
1057,78963,3;75
2150,99615,3;79
40145,74467,4;09
40143,74172,4;09
15007,96796,3;46
15003,96860,3;42
15001,96785,3;43
15009,96793,3;42
37087,38069,4;05
48469,77977,3;44
48467,75790,3;48
48465,78871,3;42
48463,78884,3;61
48461,79778,3;57
1039,39479,3;79
1033,35674,3;60
1031,37388,3;66
1037,36026,3;62
1035,36475,3;63
51009,24574,4;38
51007,23083,4;43
51005,28675,4;34
51003,24590,4;40
51001,23488,4;43
8085,81431,4;04
8087,84050,4;07
8081,81653,4;07
8083,81335,4;02
8089,88354,4;03
21219,57572,4;00
21211,75975,4;08
21213,42134,4;10
21215,47635,4;09
21217,79699,4;11
50013,5486,4;23
50011,99343,4;23
28107,75669,4;62
28105,39769,4;63
28103,39739,4;61
28101,75977,4;66
38105,58856,4;35
38103,58486,4;38
38101,79788,4;35
21237,41365,4;04
21231,84775,4;00
47135,72126,4;07
47137,38549,4;08
21053,64493,3;97
21051,76377,4;09
21057,62468,4;04
13211,84050,3;66
13215,31999,3;66
13219,30677,3;67
20011,66779,4;18
20015,68669,4;21
20017,69045,4;18
20019,67361,4;16
42041,62468,4;24
42045,74359,4;20
22041,99343,4;26
22043,99357,4;31
37137,28587,4;19
37135,92887,4;14
48197,79252,3;61
48195,79081,3;59
48193,76565,3;57
48191,79261,3;60
20197,66834,4;23
20191,67152,4;39
13021,36793,3;70
13027,78355,3;68
13029,74753,3;70
51530,51033,4;38
6013,94850,3;81
6019,93740,3;79
5089,97392,3;67
5083,80751,3;69
5081,71866,3;66
8009,81090,4;05
8005,80122,4;02
8007,81147,4;02
8001,99371,4;16
8003,81146,4;02
17033,72956,3;80
17035,62468,3;68
17037,64497,3;71
42129,22524,4;04
42127,84775,4;08
42123,63390,4;08
55111,53961,4;08
55113,54896,4;10
55115,54978,3;95
55117,53093,4;10
55119,79699,4;09
53075,99179,3;77
32009,89047,4;58
32003,98686,4;58
26039,72956,3;54
26035,48632,3;45
26037,64493,3;46
26031,49799,3;49
26033,56295,3;54
48063,75686,3;54
48067,75656,3;60
48065,79097,3;58
48069,79085,3;61
29133,72442,4;64
29135,65081,4;61
29137,72134,4;57
39041,74359,4;50
39045,43157,4;43
39047,78963,4;43
12043,33944,3;62
12041,32693,3;98
12047,76565,3;96
13319,39669,3;55
13315,36769,3;50
13317,30673,3;57
20119,67869,4;28
20115,97392,4;22
20117,73446,4;27
55025,53792,4;07
1107,35481,3;69
1105,72126,3;70
1103,84050,3;70
1109,71959,3;70
55021,99359,4;04
29075,64657,4;68
29073,65066,4;57
31035,76377,4;69
31037,87749,4;67
31033,80862,4;62
6091,96126,3;81
6093,96134,3;67
6095,95688,3;68
5001,72166,3;69
5009,72682,3;64
30025,59344,4;58
30021,79713,4;44
19061,52079,4;05
19063,51365,4;04
19067,79241,3;89
53049,98644,3;70
53045,98592,3;78
13101,31648,3;52
13103,62473,3;81
35023,88056,4;33
37079,72474,4;16
37075,85552,4;08
37073,27979,4;13
31091,69152,4;66
6115,95981,3;71
6111,93066,3;76
36067,13290,4;47
36069,14585,4;54
49001,84752,3;59
49007,84542,3;61
49009,84046,3;62
48359,79098,3;58
48357,79093,3;62
48353,79556,3;62
29203,65588,4;64
29201,72958,4;59
29207,63960,4;60
29205,75975,4;59
29209,72680,4;59
38069,98580,4;30
38061,58794,4;27
38063,58380,4;35
38067,58282,4;29
40031,76474,4;06
40033,73572,3;98
40037,74131,3;96
30033,99347,4;42
30039,59858,4;49
4019,85750,4;20
4011,85922,4;05
4017,86510,4;19
24043,97229,4;23
42049,44870,4;21
42047,67353,4;23
19017,50677,4;11
19013,50707,4;05
48145,76680,3;61
48141,80946,3;61
55027,68664,3;91
56043,82442,4;00
56041,82944,4;13
56045,82730,4;01
39169,84775,4;46
4015,86445,4;02
19087,65360,3;96
48435,76950,3;62
48437,79088,3;60
48433,79540,3;62
48439,76248,3;59
51051,24607,4;45
51053,23894,4;37
17015,72660,3;87
19103,82834,3;95
19107,52591,3;95
19109,50598,3;95
46051,99357,3;79
46055,57567,3;85
46057,57248,3;76
21085,76273,4;11
21087,53574,4;11
42081,17776,4;22
16037,83278,3;37
31085,69032,4;59
31087,69044,4;64
31081,76565,4;53
31083,68977,4;66
31089,68780,4;67
6029,93561,3;70
6021,95988,3;79
6023,95589,3;78
6027,93549,3;79
1069,75858,3;69
1063,72474,3;72
17003,62990,3;77
17005,62284,3;51
17007,72682,3;88
32033,89319,4;67
26003,49895,3;50
18051,47670,3;71
48103,79731,3;63
48109,79855,3;66
21009,42160,4;12
21001,74965,4;10
21005,75861,4;10
29101,82834,4;59
29105,65722,4;61
29107,71860,4;61
22015,71112,4;36
48227,79720,3;61
51105,78948,4;48
51103,68588,4;48
51101,23181,4;48
51109,52754,4;47
37165,63563,4;18
37167,28163,4;07
47025,71079,3;99
47023,38352,3;97
12033,36543,3;76
12031,78384,3;66
12037,99343,3;68
12035,32164,3;70
13071,31771,3;61
13073,99359,3;57
13077,30277,3;57
2180,99785,3;80
2188,99752,3;66
31009,83354,4;65
31005,69121,4;63
31007,69345,4;61
31001,99371,4;66
31003,68773,4;66
5079,99185,3;73
5073,71860,3;66
5071,82834,3;76
5077,78948,3;70
5075,72572,3;66
36113,63390,4;50
36111,12589,4;56
36117,84775,4;57
36115,97229,4;51
8053,81235,4;03
8051,81434,4;07
30011,73488,4;52
30013,59487,4;53
8059,98376,4;01
30019,59276,4;49
16029,83285,3;41
19035,75976,3;96
19033,50482,4;02
16027,83687,3;38
17081,98376,3;87
17087,82834,3;76
13135,30519,3;68
13137,30563,3;66
13131,73092,3;81
54011,25755,3;94
27025,55092,4;46
27027,76377,4;45
27021,75656,4;48
27023,56295,4;52
17123,73446,3;83
