Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=AL
35550,AL,0.38,3889,1-1-2010,
35633,AL,0.920000017,,07/22/2010,
35582,AL,1,7500,03/15/2008,
36265,AL,1,7500,02/15/2010,
36750,AL,1,7500,02/15/2010,
36849,AL,1.05,7917,10/14/2009,
35622,AL,1.5,11250,11/15/2009,
36849,AL,1.6,14320,11-3-2009,
36801,AL,1.84,14444,05/29/2009,
35674,AL,2,15000,8-1-2008,
35630,AL,3,22500,8-1-2009,
36037,AL,3,23000,08/14/2008,
35603,AL,3,22500,05/15/2008,
35610,AL,3,22500,11-1-2009,
35811,AL,3.150.000.095,,09/14/2009,
35660,AL,3.200.000.048,,08/23/2010,
35033,AL,4.0,,06/28/2010,
35055,AL,4,30000,03/24/2010,
35958,AL,4.2,12000,5-5-2009,
35958,AL,4.2,16800,6-10-2009,
36879,AL,4.56,45959,12-1-2009,
35805,AL,5,37500,10-1-2008,
35033,AL,5.5,,06/28/2010,
35223,AL,5.64,49785.0,4-12-2010,
36832,AL,5.76,59997,09/19/2002,
36860,AL,6,50000,07/15/2009,
36258,AL,8,66917,11-1-2009,
35640,AL,10.0,,09/13/2010,
36801,AL,14.72,115552,05/30/2009,
36523,AL,25.0,200000.0,12-11-2010,
