Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=2&minsize=0&state=CA
92111,CA,0.062,646.75,11/30/2001,
92111,CA,0.066,646.75,11/30/2001,
92648,CA,0.106,2217.0,07/20/2006,
91765,CA,0.108,1036.0,03/28/2000,
92648,CA,0.114,2217.0,07/20/2006,
91765,CA,0.1152,1036.0,03/28/2000,
95422,CA,0.12,1761.0,03/20/2002,
92028,CA,0.12,1153.38,4-12-2002,
90638,CA,0.187,2843.5,3-5-2001,
95490,CA,0.2,1155.0,02/21/2002,
90638,CA,0.2004,2843.5,3-5-2001,
96033,CA,0.208,,7-11-2002,
91006,CA,0.218,3322.6,01/20/2000,
92604,CA,0.222,1275.8,10-3-2000,
93306,CA,0.222,1472.16,01/31/2002,
95946,CA,0.23,1073.75,07/27/2007,
91006,CA,0.234,3322.6,01/20/2000,
92604,CA,0.2376,1275.8,10-3-2000,
93309,CA,0.24,4785.34,5-7-2002,
93561,CA,0.24,,03/21/2002,
93561,CA,0.256,2560.0,05/14/2003,
95521,CA,0.267,1513.72,09/24/2003,
95521,CA,0.273,2891.11,3-5-2003,
95521,CA,0.278,3366.0,11-1-1999,
95008,CA,0.278,1989.59,9-10-2002,
95528,CA,0.281,1905.0,10/23/2001,
92399,CA,0.284,2777.0,05/15/2000,
92646,CA,0.284,2612.2,12-6-2000,
95959,CA,0.289,4578.92,2-1-2002,
92595,CA,0.29,2151.75,11-1-1999,
95521,CA,0.2928,2891.11,3-5-2003,
94110,CA,0.293,4072.0,9-8-1998,
93561,CA,0.293,1960.93,09/23/1998,
95008,CA,0.2976,1989.59,9-10-2002,
95521,CA,0.2976,3366.0,11-1-1999,
92832,CA,0.3,4900.0,10/30/2002,
95822,CA,0.3,,09/22/2009,
91604,CA,0.3,2332.0,06/19/2001,
95959,CA,0.3,4578.92,2-1-2002,
95521,CA,0.3,1513.72,09/24/2003,
95528,CA,0.3012,1905.0,10/23/2001,
93651,CA,0.302,5035.0,10/25/2001,
92646,CA,0.30456,2612.2,12-6-2000,
92399,CA,0.3048,2777.0,05/15/2000,
