Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=IL
62441,IL,0.1,500.0,3-1-1997,
62441,IL,0.2,390.0,10-1-2010,
62441,IL,0.36,3400.0,5-1-1999,
62441,IL,0.52,3650.0,5-1-2008,
60970,IL,0.8,5552.0,01/23/2008,
60936,IL,0.816,12148.0,03/13/2007,
60642,IL,0.9,10648.0,02/20/2007,
61065,IL,0.91,11000.0,08/15/2007,
61536,IL,0.96,8925.0,1-5-2006,
62466,IL,0.96,8438.0,9-9-2005,
60062,IL,1.0,17000.0,02/16/2010,
61301,IL,1.0,10498.0,01/23/2009,
61085,IL,1.0,10500.0,02/23/2006,
61244,IL,1.0,8710.0,1-5-2006,
60643,IL,1.0,14480.0,04/13/2007,
60525,IL,1.0,5860.0,04/15/2010,
60623,IL,1.0,17000.0,02/16/2010,
60707,IL,1.002,10400.0,1-5-2006,
62294,IL,1.02,17015.0,11/14/2008,
61064,IL,1.02,10545.0,12/18/2007,
61107,IL,1.02,8399.0,04/24/2008,
61101,IL,1.02,10879.0,12-11-2007,
60014,IL,1.02,9780.0,9-9-2008,
60970,IL,1.02,6397.93,04/15/2010,
62001,IL,1.04,10700.0,09/15/2005,
60091,IL,1.048,17460.0,12/20/2006,
60624,IL,1.05,9495.0,1-12-2012,
60481,IL,1.05,11851.0,01/25/2007,
62010,IL,1.05,19986.0,4-7-2008,
61111,IL,1.05,10758.0,02/14/2008,
60706,IL,1.05,15660.0,2-2-2009,
61259,IL,1.05,9155.25,03/19/2010,
60091,IL,1.05,7500,6-9-2010,
61277,IL,1.08,10264.0,1-8-2007,
61260,IL,1.08,7935.0,08/18/2011,
61061,IL,1.1,2874.0,03/19/2008,
60642,IL,1.1,19500.0,7-9-2008,
60115,IL,1.1,10420.0,2-8-2006,
60450,IL,1.1,4900.0,06/28/2010,
61074,IL,1.1,5840.0,4-9-2010,
60520,IL,1.1,13733.0,4-9-2010,
60610,IL,1.11,10250.0,06/30/2012,
60622,IL,1.11,10250.0,1-12-2012,
60623,IL,1.11,10250.0,06/30/2012,
60636,IL,1.11,10250.0,1-12-2012,
60624,IL,1.11,10250.0,1-12-2012,
60614,IL,1.11,10250.0,02/18/2011,
60634,IL,1.11,10250.0,06/30/2012,
60089,IL,1.11,9039.0,06/23/2010,
61853,IL,1.12,5335.0,09/23/2008,
60202,IL,1.14,10500.0,1-5-2006,
60201,IL,1.14,10500.0,10-11-2005,
60202,IL,1.14,10500.0,1-5-2006,
60541,IL,1.14,13580.0,4-9-2010,
60033,IL,1.14,5585.0,6-3-2009,
60150,IL,1.14,13580.0,4-9-2010,
62959,IL,1.18,8415.0,02/26/2008,
60646,IL,1.2,10800.0,06/20/2012,
60091,IL,1.2,20880.0,6-4-2009,
60613,IL,1.2,12976.34,3-8-2010,
61028,IL,1.2,14835.0,01/25/2006,
62014,IL,1.2,7433.0,03/13/2007,
60145,IL,1.2,15564.0,11/13/2006,
61064,IL,1.2,10212.0,4-10-2006,
60148,IL,1.2,7600.0,06/21/2007,
62294,IL,1.2,15812.69,06/29/2011,
