Date,Population
1-1-1980,405.315
1-1-1981,418.491
1-1-1982,449.606
1-1-1983,488.417
1-1-1984,513.702
1-1-1985,532.495
1-1-1986,544.268
1-1-1987,539.309
1-1-1988,541.983
1-1-1989,547.159
1-1-1990,553.120
1-1-1991,569.273
1-1-1992,587.073
1-1-1993,596.993
1-1-1994,600.624
1-1-1995,601.345
1-1-1996,604.918
1-1-1997,608.846
1-1-1998,615.205
1-1-1999,619.500
1-1-2000,627.963
1-1-2001,633.714
1-1-2002,642.337
1-1-2003,648.414
1-1-2004,659.286
1-1-2005,666.946
1-1-2006,675.302
1-1-2007,680.300
1-1-2008,687.455
1-1-2009,698.895
1-1-2010,713.856
1-1-2011,722.572
1-1-2012,731.081
1-1-2013,737.259
1-1-2014,736.732
