Date,Population
1-1-1980,2.737.774
1-1-1981,2.810.107
1-1-1982,2.889.861
1-1-1983,2.968.925
1-1-1984,3.067.135
1-1-1985,3.183.538
1-1-1986,3.308.262
1-1-1987,3.437.103
1-1-1988,3.535.183
1-1-1989,3.622.185
1-1-1990,3.679.056
1-1-1991,3.762.394
1-1-1992,3.867.333
1-1-1993,3.993.390
1-1-1994,4.147.561
1-1-1995,4.306.908
1-1-1996,4.432.308
1-1-1997,4.552.207
1-1-1998,4.667.277
1-1-1999,4.778.332
1-1-2000,5.160.586
1-1-2001,5.273.477
1-1-2002,5.396.255
1-1-2003,5.510.364
1-1-2004,5.652.404
1-1-2005,5.839.077
1-1-2006,6.029.141
1-1-2007,6.167.681
1-1-2008,6.280.362
1-1-2009,6.343.154
1-1-2010,6.411.999
1-1-2011,6.472.867
1-1-2012,6.556.236
1-1-2013,6.634.997
1-1-2014,6.731.484
Date,Population,Size
