Date,Population
1-1-1980,23.800.800
1-1-1981,24.285.933
1-1-1982,24.820.009
1-1-1983,25.360.026
1-1-1984,25.844.393
1-1-1985,26.441.109
1-1-1986,27.102.237
1-1-1987,27.777.158
1-1-1988,28.464.249
1-1-1989,29.218.164
1-1-1990,29.950.111
1-1-1991,30.414.114
1-1-1992,30.875.920
1-1-1993,31.147.208
1-1-1994,31.317.179
1-1-1995,31.493.525
1-1-1996,31.780.829
1-1-1997,32.217.708
1-1-1998,32.682.794
1-1-1999,33.145.121
1-1-2000,33.987.977
1-1-2001,34.479.458
1-1-2002,34.871.843
1-1-2003,35.253.159
1-1-2004,35.574.576
1-1-2005,35.827.943
1-1-2006,36.021.202
1-1-2007,36.250.311
1-1-2008,36.604.337
1-1-2009,36.961.229
1-1-2010,37.336.011
1-1-2011,37.701.901
1-1-2012,38.062.780
1-1-2013,38.431.393
1-1-2014,38.802.500
Date,Population,Size
