Date,Population
1-1-1980,2.908.803
1-1-1981,2.977.898
1-1-1982,3.061.564
1-1-1983,3.133.630
1-1-1984,3.169.992
1-1-1985,3.208.723
1-1-1986,3.237.450
1-1-1987,3.260.480
1-1-1988,3.262.281
1-1-1989,3.275.818
1-1-1990,3.303.862
1-1-1991,3.367.567
1-1-1992,3.459.995
1-1-1993,3.560.884
1-1-1994,3.653.910
1-1-1995,3.738.061
1-1-1996,3.812.716
1-1-1997,3.891.293
1-1-1998,3.968.967
1-1-1999,4.056.133
1-1-2000,4.326.921
1-1-2001,4.425.687
1-1-2002,4.490.406
1-1-2003,4.528.732
1-1-2004,4.575.013
1-1-2005,4.631.888
1-1-2006,4.720.423
1-1-2007,4.803.868
1-1-2008,4.889.730
1-1-2009,4.972.195
1-1-2010,5.048.575
1-1-2011,5.119.661
1-1-2012,5.191.709
1-1-2013,5.272.086
1-1-2014,5.355.866
Date,Population,Size
