Date,Population
1-1-1980,3.113.174
1-1-1981,3.128.836
1-1-1982,3.139.013
1-1-1983,3.162.354
1-1-1984,3.180.014
1-1-1985,3.201.131
1-1-1986,3.223.740
1-1-1987,3.247.291
1-1-1988,3.271.953
1-1-1989,3.283.403
1-1-1990,3.289.056
1-1-1991,3.288.640
1-1-1992,3.274.997
1-1-1993,3.272.325
1-1-1994,3.268.346
1-1-1995,3.265.293
1-1-1996,3.267.030
1-1-1997,3.268.514
1-1-1998,3.272.563
1-1-1999,3.282.031
1-1-2000,3.411.777
1-1-2001,3.432.835
1-1-2002,3.458.749
1-1-2003,3.484.336
1-1-2004,3.496.094
1-1-2005,3.506.956
1-1-2006,3.517.460
1-1-2007,3.527.270
1-1-2008,3.545.579
1-1-2009,3.561.807
1-1-2010,3.579.345
1-1-2011,3.590.537
1-1-2012,3.594.362
1-1-2013,3.599.341
1-1-2014,3.596.677
Date,Population,Size
