Date,Population
1-1-1980,594.919
1-1-1981,595.975
1-1-1982,599.148
1-1-1983,605.458
1-1-1984,611.565
1-1-1985,618.280
1-1-1986,627.559
1-1-1987,636.947
1-1-1988,647.622
1-1-1989,658.273
1-1-1990,669.063
1-1-1991,680.495
1-1-1992,690.158
1-1-1993,699.475
1-1-1994,708.416
1-1-1995,718.265
1-1-1996,727.090
1-1-1997,735.024
1-1-1998,744.066
1-1-1999,753.538
1-1-2000,786.373
1-1-2001,795.699
1-1-2002,806.169
1-1-2003,818.003
1-1-2004,830.803
1-1-2005,845.150
1-1-2006,859.268
1-1-2007,871.749
1-1-2008,883.874
1-1-2009,891.730
1-1-2010,899.731
1-1-2011,907.829
1-1-2012,916.881
1-1-2013,925.240
1-1-2014,935.614
Date,Population,Size
