Date,Population
1-1-1980,9.839.835
1-1-1981,10.192.774
1-1-1982,10.471.407
1-1-1983,10.749.851
1-1-1984,11.039.925
1-1-1985,11.351.118
1-1-1986,11.667.505
1-1-1987,11.997.283
1-1-1988,12.306.395
1-1-1989,12.637.715
1-1-1990,13.018.365
1-1-1991,13.289.497
1-1-1992,13.504.775
1-1-1993,13.713.593
1-1-1994,13.961.798
1-1-1995,14.185.403
1-1-1996,14.426.911
1-1-1997,14.683.350
1-1-1998,14.908.230
1-1-1999,15.111.244
1-1-2000,16.047.515
1-1-2001,16.356.966
1-1-2002,16.689.370
1-1-2003,17.004.085
1-1-2004,17.415.318
1-1-2005,17.842.038
1-1-2006,18.166.990
1-1-2007,18.367.842
1-1-2008,18.527.305
1-1-2009,18.652.644
1-1-2010,18.852.220
1-1-2011,19.107.900
1-1-2012,19.355.257
1-1-2013,19.600.311
1-1-2014,19.893.297
Date,Population,Size
