Date,Population
1-1-1980,5.486.174
1-1-1981,5.568.345
1-1-1982,5.649.792
1-1-1983,5.728.250
1-1-1984,5.834.954
1-1-1985,5.962.661
1-1-1986,6.084.666
1-1-1987,6.208.467
1-1-1988,6.316.142
1-1-1989,6.411.099
1-1-1990,6.506.531
1-1-1991,6.621.279
1-1-1992,6.759.474
1-1-1993,6.894.092
1-1-1994,7.045.900
1-1-1995,7.188.538
1-1-1996,7.332.225
1-1-1997,7.486.094
1-1-1998,7.636.522
1-1-1999,7.788.240
1-1-2000,8.227.303
1-1-2001,8.377.038
1-1-2002,8.508.256
1-1-2003,8.622.793
1-1-2004,8.769.252
1-1-2005,8.925.922
1-1-2006,9.155.813
1-1-2007,9.349.988
1-1-2008,9.504.843
1-1-2009,9.620.846
1-1-2010,9.714.464
1-1-2011,9.813.201
1-1-2012,9.919.000
1-1-2013,9.994.759
1-1-2014,10.097.343
Date,Population,Size
