Date,Population
1-1-1980,967.710
1-1-1981,978.195
1-1-1982,993.780
1-1-1983,1.012.717
1-1-1984,1.027.922
1-1-1985,1.039.698
1-1-1986,1.051.762
1-1-1987,1.067.918
1-1-1988,1.079.828
1-1-1989,1.094.588
1-1-1990,1.112.703
1-1-1991,1.131.412
1-1-1992,1.149.926
1-1-1993,1.161.508
1-1-1994,1.173.903
1-1-1995,1.180.490
1-1-1996,1.184.434
1-1-1997,1.189.322
1-1-1998,1.190.472
1-1-1999,1.185.497
1-1-2000,1.213.519
1-1-2001,1.225.948
1-1-2002,1.239.613
1-1-2003,1.251.154
1-1-2004,1.273.569
1-1-2005,1.292.729
1-1-2006,1.309.731
1-1-2007,1.315.675
1-1-2008,1.332.213
1-1-2009,1.346.717
1-1-2010,1.363.950
1-1-2011,1.378.251
1-1-2012,1.392.766
1-1-2013,1.408.987
1-1-2014,1.419.561
Date,Population,Size
