Date,Population
1-1-1980,947.983
1-1-1981,962.204
1-1-1982,973.721
1-1-1983,981.869
1-1-1984,990.839
1-1-1985,994.051
1-1-1986,990.224
1-1-1987,984.997
1-1-1988,985.664
1-1-1989,994.416
1-1-1990,1.011.882
1-1-1991,1.038.915
1-1-1992,1.066.490
1-1-1993,1.101.204
1-1-1994,1.135.459
1-1-1995,1.165.000
1-1-1996,1.187.706
1-1-1997,1.210.638
1-1-1998,1.230.923
1-1-1999,1.251.700
1-1-2000,1.299.430
1-1-2001,1.319.962
1-1-2002,1.340.372
1-1-2003,1.363.380
1-1-2004,1.391.802
1-1-2005,1.428.241
1-1-2006,1.468.669
1-1-2007,1.505.105
1-1-2008,1.534.320
1-1-2009,1.554.439
1-1-2010,1.570.639
1-1-2011,1.583.780
1-1-2012,1.595.590
1-1-2013,1.612.843
1-1-2014,1.634.464
Date,Population,Size
