Date,Population
1-1-1980,11.434.702
1-1-1981,11.443.458
1-1-1982,11.423.412
1-1-1983,11.408.818
1-1-1984,11.412.132
1-1-1985,11.399.806
1-1-1986,11.387.257
1-1-1987,11.391.178
1-1-1988,11.390.183
1-1-1989,11.409.782
1-1-1990,11.446.979
1-1-1991,11.535.973
1-1-1992,11.635.197
1-1-1993,11.725.984
1-1-1994,11.804.986
1-1-1995,11.884.935
1-1-1996,11.953.003
1-1-1997,12.011.509
1-1-1998,12.069.774
1-1-1999,12.128.370
1-1-2000,12.434.161
1-1-2001,12.488.445
1-1-2002,12.525.556
1-1-2003,12.556.006
1-1-2004,12.589.773
1-1-2005,12.609.903
1-1-2006,12.643.955
1-1-2007,12.695.866
1-1-2008,12.747.038
1-1-2009,12.796.778
1-1-2010,12.840.097
1-1-2011,12.858.725
1-1-2012,12.873.763
1-1-2013,12.890.552
1-1-2014,12.880.580
Date,Population,Size
