Date,Population
1-1-1980,3.664.221
1-1-1981,3.670.394
1-1-1982,3.683.445
1-1-1983,3.694.484
1-1-1984,3.695.453
1-1-1985,3.694.826
1-1-1986,3.687.809
1-1-1987,3.683.329
1-1-1988,3.679.999
1-1-1989,3.677.306
1-1-1990,3.692.584
1-1-1991,3.714.686
1-1-1992,3.756.358
1-1-1993,3.792.288
1-1-1994,3.823.215
1-1-1995,3.855.248
1-1-1996,3.881.051
1-1-1997,3.907.816
1-1-1998,3.934.310
1-1-1999,3.960.825
1-1-2000,4.049.021
1-1-2001,4.068.132
1-1-2002,4.089.875
1-1-2003,4.117.170
1-1-2004,4.146.101
1-1-2005,4.182.742
1-1-2006,4.219.239
1-1-2007,4.256.672
1-1-2008,4.289.878
1-1-2009,4.317.074
1-1-2010,4.349.838
1-1-2011,4.370.038
1-1-2012,4.383.465
1-1-2013,4.399.583
1-1-2014,4.413.457
Date,Population,Size
