Date,Population
1-1-1980,4.223.101
1-1-1981,4.283.303
1-1-1982,4.352.608
1-1-1983,4.395.316
1-1-1984,4.400.477
1-1-1985,4.408.118
1-1-1986,4.406.919
1-1-1987,4.344.148
1-1-1988,4.288.863
1-1-1989,4.252.894
1-1-1990,4.219.179
1-1-1991,4.240.950
1-1-1992,4.270.849
1-1-1993,4.284.749
1-1-1994,4.306.500
1-1-1995,4.327.978
1-1-1996,4.338.763
1-1-1997,4.351.390
1-1-1998,4.362.758
1-1-1999,4.372.035
1-1-2000,4.471.885
1-1-2001,4.477.875
1-1-2002,4.497.267
1-1-2003,4.521.042
1-1-2004,4.552.238
1-1-2005,4.576.628
1-1-2006,4.302.665
1-1-2007,4.375.581
1-1-2008,4.435.586
1-1-2009,4.491.648
1-1-2010,4.545.581
1-1-2011,4.575.972
1-1-2012,4.604.744
1-1-2013,4.629.284
1-1-2014,4.649.676
Date,Population,Size
