Date,Population
1-1-1980,5.746.075
1-1-1981,5.768.685
1-1-1982,5.771.222
1-1-1983,5.799.407
1-1-1984,5.840.773
1-1-1985,5.880.733
1-1-1986,5.902.678
1-1-1987,5.935.204
1-1-1988,5.979.982
1-1-1989,6.015.478
1-1-1990,6.018.664
1-1-1991,5.998.652
1-1-1992,5.993.474
1-1-1993,6.010.884
1-1-1994,6.031.352
1-1-1995,6.062.335
1-1-1996,6.085.393
1-1-1997,6.115.476
1-1-1998,6.144.407
1-1-1999,6.175.169
1-1-2000,6.361.104
1-1-2001,6.397.634
1-1-2002,6.417.206
1-1-2003,6.422.565
1-1-2004,6.412.281
1-1-2005,6.403.290
1-1-2006,6.410.084
1-1-2007,6.431.559
1-1-2008,6.468.967
1-1-2009,6.517.613
1-1-2010,6.564.073
1-1-2011,6.612.270
1-1-2012,6.655.829
1-1-2013,6.708.874
1-1-2014,6.745.408
Date,Population,Size
