Date,Population
1-1-1980,9.255.553
1-1-1981,9.209.287
1-1-1982,9.115.198
1-1-1983,9.047.754
1-1-1984,9.049.452
1-1-1985,9.076.293
1-1-1986,9.127.775
1-1-1987,9.187.481
1-1-1988,9.217.998
1-1-1989,9.253.295
1-1-1990,9.310.462
1-1-1991,9.395.022
1-1-1992,9.470.323
1-1-1993,9.529.240
1-1-1994,9.584.481
1-1-1995,9.659.871
1-1-1996,9.739.184
1-1-1997,9.785.450
1-1-1998,9.820.231
1-1-1999,9.863.775
1-1-2000,9.952.450
1-1-2001,9.991.120
1-1-2002,10.015.710
1-1-2003,10.041.152
1-1-2004,10.055.315
1-1-2005,10.051.137
1-1-2006,10.036.081
1-1-2007,10.001.284
1-1-2008,9.946.889
1-1-2009,9.901.591
1-1-2010,9.876.498
1-1-2011,9.875.736
1-1-2012,9.884.781
1-1-2013,9.898.193
1-1-2014,9.909.877
Date,Population,Size
