Date,Population
1-1-1980,4.085.017
1-1-1981,4.111.728
1-1-1982,4.131.450
1-1-1983,4.141.456
1-1-1984,4.157.706
1-1-1985,4.184.302
1-1-1986,4.205.212
1-1-1987,4.235.136
1-1-1988,4.296.166
1-1-1989,4.338.057
1-1-1990,4.387.283
1-1-1991,4.427.429
1-1-1992,4.471.503
1-1-1993,4.521.709
1-1-1994,4.566.028
1-1-1995,4.605.445
1-1-1996,4.647.723
1-1-1997,4.687.726
1-1-1998,4.726.411
1-1-1999,4.775.508
1-1-2000,4.933.692
1-1-2001,4.982.796
1-1-2002,5.018.935
1-1-2003,5.053.572
1-1-2004,5.087.713
1-1-2005,5.119.598
1-1-2006,5.163.555
1-1-2007,5.207.203
1-1-2008,5.247.018
1-1-2009,5.281.203
1-1-2010,5.310.418
1-1-2011,5.348.036
1-1-2012,5.380.615
1-1-2013,5.422.060
1-1-2014,5.457.173
Date,Population,Size
