Date,Population
1-1-1980,2.525.342
1-1-1981,2.539.036
1-1-1982,2.556.777
1-1-1983,2.567.717
1-1-1984,2.578.051
1-1-1985,2.588.102
1-1-1986,2.593.597
1-1-1987,2.588.545
1-1-1988,2.580.352
1-1-1989,2.574.269
1-1-1990,2.577.426
1-1-1991,2.591.230
1-1-1992,2.610.193
1-1-1993,2.635.574
1-1-1994,2.663.450
1-1-1995,2.690.788
1-1-1996,2.709.925
1-1-1997,2.731.826
1-1-1998,2.751.335
1-1-1999,2.768.619
1-1-2000,2.848.353
1-1-2001,2.852.994
1-1-2002,2.858.681
1-1-2003,2.868.312
1-1-2004,2.889.010
1-1-2005,2.905.943
1-1-2006,2.904.978
1-1-2007,2.928.350
1-1-2008,2.947.806
1-1-2009,2.958.774
1-1-2010,2.970.811
1-1-2011,2.978.464
1-1-2012,2.986.137
1-1-2013,2.992.206
1-1-2014,2.994.079
Date,Population,Size
