Date,Population
1-1-1980,1.572.296
1-1-1981,1.578.515
1-1-1982,1.581.780
1-1-1983,1.584.293
1-1-1984,1.588.639
1-1-1985,1.584.664
1-1-1986,1.574.333
1-1-1987,1.566.547
1-1-1988,1.571.477
1-1-1989,1.574.864
1-1-1990,1.580.664
1-1-1991,1.590.805
1-1-1992,1.602.406
1-1-1993,1.612.149
1-1-1994,1.621.551
1-1-1995,1.635.142
1-1-1996,1.647.657
1-1-1997,1.656.042
1-1-1998,1.660.772
1-1-1999,1.666.028
1-1-2000,1.713.820
1-1-2001,1.719.836
1-1-2002,1.728.292
1-1-2003,1.738.643
1-1-2004,1.749.370
1-1-2005,1.761.497
1-1-2006,1.772.693
1-1-2007,1.783.440
1-1-2008,1.796.378
1-1-2009,1.812.683
1-1-2010,1.829.865
1-1-2011,1.842.232
1-1-2012,1.855.487
1-1-2013,1.868.969
1-1-2014,1.881.503
Date,Population,Size
