Date,Population
1-1-1980,924.250
1-1-1981,936.621
1-1-1982,947.719
1-1-1983,958.134
1-1-1984,976.864
1-1-1985,996.753
1-1-1986,1.025.053
1-1-1987,1.054.289
1-1-1988,1.082.577
1-1-1989,1.104.522
1-1-1990,1.111.831
1-1-1991,1.107.055
1-1-1992,1.112.766
1-1-1993,1.122.191
1-1-1994,1.133.054
1-1-1995,1.145.604
1-1-1996,1.160.768
1-1-1997,1.173.239
1-1-1998,1.185.823
1-1-1999,1.201.134
1-1-2000,1.239.882
1-1-2001,1.255.517
1-1-2002,1.269.089
1-1-2003,1.279.840
1-1-2004,1.290.121
1-1-2005,1.298.492
1-1-2006,1.308.389
1-1-2007,1.312.540
1-1-2008,1.315.906
1-1-2009,1.316.102
1-1-2010,1.316.517
1-1-2011,1.318.109
1-1-2012,1.321.297
1-1-2013,1.322.616
1-1-2014,1.326.813
Date,Population,Size
