Date,Population
1-1-1980,7.376.330
1-1-1981,7.407.472
1-1-1982,7.430.968
1-1-1983,7.467.785
1-1-1984,7.515.473
1-1-1985,7.565.528
1-1-1986,7.622.159
1-1-1987,7.670.742
1-1-1988,7.712.333
1-1-1989,7.726.089
1-1-1990,7.757.158
1-1-1991,7.784.269
1-1-1992,7.827.770
1-1-1993,7.874.891
1-1-1994,7.918.796
1-1-1995,7.965.523
1-1-1996,8.009.624
1-1-1997,8.054.178
1-1-1998,8.095.542
1-1-1999,8.143.412
1-1-2000,8.430.621
1-1-2001,8.492.671
1-1-2002,8.552.643
1-1-2003,8.601.402
1-1-2004,8.634.561
1-1-2005,8.651.974
1-1-2006,8.661.679
1-1-2007,8.677.885
1-1-2008,8.711.090
1-1-2009,8.755.602
1-1-2010,8.803.580
1-1-2011,8.842.614
1-1-2012,8.876.000
1-1-2013,8.911.502
1-1-2014,8.938.175
Date,Population,Size
