Date,Population
1-1-1980,1.309.400
1-1-1981,1.332.748
1-1-1982,1.363.823
1-1-1983,1.394.361
1-1-1984,1.416.717
1-1-1985,1.438.361
1-1-1986,1.462.729
1-1-1987,1.478.520
1-1-1988,1.490.337
1-1-1989,1.503.901
1-1-1990,1.519.933
1-1-1991,1.547.115
1-1-1992,1.580.750
1-1-1993,1.614.937
1-1-1994,1.653.329
1-1-1995,1.682.417
1-1-1996,1.706.151
1-1-1997,1.722.939
1-1-1998,1.733.535
1-1-1999,1.739.844
1-1-2000,1.821.204
1-1-2001,1.831.690
1-1-2002,1.855.309
1-1-2003,1.877.574
1-1-2004,1.903.808
1-1-2005,1.932.274
1-1-2006,1.962.137
1-1-2007,1.990.070
1-1-2008,2.010.662
1-1-2009,2.036.802
1-1-2010,2.064.950
1-1-2011,2.078.407
1-1-2012,2.084.594
1-1-2013,2.086.895
1-1-2014,2.085.572
Date,Population,Size
