Date,Population
1-1-1980,17.566.754
1-1-1981,17.567.734
1-1-1982,17.589.738
1-1-1983,17.686.905
1-1-1984,17.745.684
1-1-1985,17.791.672
1-1-1986,17.833.419
1-1-1987,17.868.848
1-1-1988,17.941.309
1-1-1989,17.983.086
1-1-1990,18.002.855
1-1-1991,18.029.532
1-1-1992,18.082.032
1-1-1993,18.140.894
1-1-1994,18.156.652
1-1-1995,18.150.928
1-1-1996,18.143.805
1-1-1997,18.143.184
1-1-1998,18.159.175
1-1-1999,18.196.601
1-1-2000,19.001.780
1-1-2001,19.082.838
1-1-2002,19.137.800
1-1-2003,19.175.939
1-1-2004,19.171.567
1-1-2005,19.132.610
1-1-2006,19.104.631
1-1-2007,19.132.335
1-1-2008,19.212.436
1-1-2009,19.307.066
1-1-2010,19.400.867
1-1-2011,19.521.745
1-1-2012,19.607.140
1-1-2013,19.695.680
1-1-2014,19.746.227
Date,Population,Size
