Date,Population
1-1-1980,11.868.305
1-1-1981,11.858.567
1-1-1982,11.845.146
1-1-1983,11.837.723
1-1-1984,11.815.172
1-1-1985,11.770.862
1-1-1986,11.782.752
1-1-1987,11.810.866
1-1-1988,11.845.752
1-1-1989,11.865.996
1-1-1990,11.895.604
1-1-1991,11.943.160
1-1-1992,11.980.819
1-1-1993,12.022.128
1-1-1994,12.042.545
1-1-1995,12.044.780
1-1-1996,12.038.008
1-1-1997,12.015.888
1-1-1998,12.002.329
1-1-1999,11.994.016
1-1-2000,12.284.173
1-1-2001,12.298.970
1-1-2002,12.331.031
1-1-2003,12.374.658
1-1-2004,12.410.722
1-1-2005,12.449.990
1-1-2006,12.510.809
1-1-2007,12.563.937
1-1-2008,12.612.285
1-1-2009,12.666.858
1-1-2010,12.711.077
1-1-2011,12.743.995
1-1-2012,12.770.043
1-1-2013,12.781.296
1-1-2014,12.787.209
Date,Population,Size
