Date,Population
1-1-1980,948.773
1-1-1981,953.013
1-1-1982,954.170
1-1-1983,956.382
1-1-1984,961.894
1-1-1985,968.955
1-1-1986,977.341
1-1-1987,989.604
1-1-1988,996.408
1-1-1989,1.000.666
1-1-1990,1.004.649
1-1-1991,1.003.990
1-1-1992,1.000.571
1-1-1993,997.852
1-1-1994,993.412
1-1-1995,989.203
1-1-1996,987.858
1-1-1997,986.966
1-1-1998,987.704
1-1-1999,990.819
1-1-2000,1.050.268
1-1-2001,1.057.142
1-1-2002,1.065.995
1-1-2003,1.071.342
1-1-2004,1.074.579
1-1-2005,1.067.916
1-1-2006,1.063.096
1-1-2007,1.057.315
1-1-2008,1.055.003
1-1-2009,1.053.646
1-1-2010,1.053.078
1-1-2011,1.052.020
1-1-2012,1.052.637
1-1-2013,1.053.354
1-1-2014,1.055.173
Date,Population,Size
