Date,Population
1-1-1980,3.134.502
1-1-1981,3.179.255
1-1-1982,3.207.614
1-1-1983,3.234.066
1-1-1984,3.271.868
1-1-1985,3.303.209
1-1-1986,3.342.758
1-1-1987,3.380.506
1-1-1988,3.412.096
1-1-1989,3.456.775
1-1-1990,3.499.064
1-1-1991,3.559.470
1-1-1992,3.600.576
1-1-1993,3.634.507
1-1-1994,3.666.456
1-1-1995,3.699.943
1-1-1996,3.738.974
1-1-1997,3.790.066
1-1-1998,3.839.578
1-1-1999,3.885.736
1-1-2000,4.024.223
1-1-2001,4.064.995
1-1-2002,4.107.795
1-1-2003,4.150.297
1-1-2004,4.210.921
1-1-2005,4.270.150
1-1-2006,4.357.847
1-1-2007,4.444.110
1-1-2008,4.528.996
1-1-2009,4.589.872
1-1-2010,4.636.290
1-1-2011,4.673.054
1-1-2012,4.722.621
1-1-2013,4.771.929
1-1-2014,4.832.482
Date,Population,Size
