Date,Population
1-1-1980,14.338.208
1-1-1981,14.746.318
1-1-1982,15.331.415
1-1-1983,15.751.676
1-1-1984,16.007.086
1-1-1985,16.272.734
1-1-1986,16.561.113
1-1-1987,16.621.791
1-1-1988,16.667.022
1-1-1989,16.806.735
1-1-1990,17.044.714
1-1-1991,17.339.904
1-1-1992,17.650.479
1-1-1993,17.996.764
1-1-1994,18.338.319
1-1-1995,18.679.706
1-1-1996,19.006.240
1-1-1997,19.355.427
1-1-1998,19.712.389
1-1-1999,20.044.141
1-1-2000,20.944.499
1-1-2001,21.319.622
1-1-2002,21.690.325
1-1-2003,22.030.931
1-1-2004,22.394.023
1-1-2005,22.778.123
1-1-2006,23.359.580
1-1-2007,23.831.983
1-1-2008,24.309.039
1-1-2009,24.801.761
1-1-2010,25.245.717
1-1-2011,25.657.477
1-1-2012,26.094.422
1-1-2013,26.505.637
1-1-2014,26.956.958
Date,Population,Size
