Date,Population
1-1-1980,1.472.595
1-1-1981,1.515.471
1-1-1982,1.558.314
1-1-1983,1.594.943
1-1-1984,1.622.342
1-1-1985,1.642.910
1-1-1986,1.662.834
1-1-1987,1.678.119
1-1-1988,1.689.372
1-1-1989,1.705.864
1-1-1990,1.729.722
1-1-1991,1.771.941
1-1-1992,1.821.498
1-1-1993,1.875.993
1-1-1994,1.930.436
1-1-1995,1.976.774
1-1-1996,2.022.253
1-1-1997,2.065.397
1-1-1998,2.100.562
1-1-1999,2.129.836
1-1-2000,2.244.502
1-1-2001,2.283.715
1-1-2002,2.324.815
1-1-2003,2.360.137
1-1-2004,2.401.580
1-1-2005,2.457.719
1-1-2006,2.525.507
1-1-2007,2.597.746
1-1-2008,2.663.029
1-1-2009,2.723.421
1-1-2010,2.774.346
1-1-2011,2.815.324
1-1-2012,2.855.194
1-1-2013,2.902.787
1-1-2014,2.942.902
Date,Population,Size
