Date,Population
1-1-1980,4.154.678
1-1-1981,4.235.731
1-1-1982,4.276.552
1-1-1983,4.300.266
1-1-1984,4.343.656
1-1-1985,4.400.098
1-1-1986,4.452.720
1-1-1987,4.531.901
1-1-1988,4.639.893
1-1-1989,4.746.316
1-1-1990,4.900.780
1-1-1991,5.013.443
1-1-1992,5.139.011
1-1-1993,5.247.704
1-1-1994,5.334.896
1-1-1995,5.431.024
1-1-1996,5.509.963
1-1-1997,5.604.105
1-1-1998,5.687.832
1-1-1999,5.756.361
1-1-2000,5.910.512
1-1-2001,5.985.722
1-1-2002,6.052.349
1-1-2003,6.104.115
1-1-2004,6.178.645
1-1-2005,6.257.305
1-1-2006,6.370.753
1-1-2007,6.461.587
1-1-2008,6.562.231
1-1-2009,6.667.426
1-1-2010,6.741.911
1-1-2011,6.822.112
1-1-2012,6.896.325
1-1-2013,6.973.742
1-1-2014,7.061.530
Date,Population,Size
