Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
62441,IL,0;1,500,3-1-1997,39.39,-87.69,4;06,Clark,55019,5000,809;7814208
62441,IL,0;2,390,10-1-2010,39.39,-87.69,4;06,Clark,55019,1950,1619;562842
62441,IL,0;36,3400,5-1-1999,39.39,-87.69,4;06,Clark,55019,9444;444444,2915;213115
62441,IL,0;52,3650,5-1-2008,39.39,-87.69,4;06,Clark,55019,7019;230769,4210;863388
60970,IL,0;8,5552,01/23/2008,40.77,-87.73,3;85,Iroquois,17075,6940,6143;169399
60936,IL,0;816,12148,03/13/2007,40.46,-88.34,3;97,Ford,20057,14887;2549,6461;337705
60642,IL,0;9,10648,02/20/2007,41.90,-87.65,3;7,0,0,11831;11111,6641;803279
61065,IL,0;91,11000,08/15/2007,0,0,0,Boone,54005,12087;91209,0
61536,IL,0;96,8925,1-5-2006,42.36,-88.82,3;7,Peoria,17143,9296;875,7084;590164
62466,IL,0;96,8438,9-9-2005,40.69,-89.79,4;02,Lawrence,47099,8789;583333,7697;311475
60062,IL,1,17000,02/16/2010,38.71,-87.86,4;15,Cook,27031,17000,8277;322404
61301,IL,1,10498,01/23/2009,42.12,-87.83,3;73,La Salle,48283,10498,7439;617486
61085,IL,1,10500,02/23/2006,41.34,-89.09,3;88,Jo Daviess,17085,10500,7738;797814
61244,IL,1,8710,1-5-2006,42.35,-90.00,3;84,Rock Island,17161,8710,7659;016393
60643,IL,1,14480,04/13/2007,41.51,-90.42,4,Cook,27031,14480,7978;142077
60525,IL,1,5860,04/15/2010,41.83,-87.68,3;73,Cook,27031,5860,7439;617486
60623,IL,1,17000,02/16/2010,41.80,-87.87,3;73,Cook,27031,17000,7439;617486
60707,IL,1.002,10400,1-5-2006,41.83,-87.68,3;72,Cook,27031,10;37924152,7434511;475
62294,IL,1;02,17015,11/14/2008,41.92,-87.81,3;64,Madison,51113,16681;37255,7405;311475
61064,IL,1;02,10545,12/18/2007,38.73,-89.89,4;32,Ogle,17141,10338;23529,8788;721311
61107,IL,1;02,8399,04/24/2008,41.98,-89.57,3;84,Winnebago,55139,8234;313725,7812;196721
61101,IL,1;02,10879,12-11-2007,42.27,-89.06,3;75,Winnebago,55139,10665;68627,7629;098361
60014,IL,1;02,9780,9-9-2008,42.27,-89.06,3;78,Mchenry,0,9588;235294,7690;131148
60970,IL,1;02,6397;93,04/15/2010,42.23,-88.33,3;75,0,17075,6272;480392,7629;098361
62001,IL,1;04,10700,09/15/2005,0,0,0,Iroquois,51113,10288;46154,0
60091,IL,1.048,17460,12/20/2006,40.77,-87.73,3;85,Madison,27031,16;66030534,8047551;913
60624,IL,1;05,9495,1-12-2012,38.88,-89.73,4;28,Cook,27031,9042;857143,8963;442623
60481,IL,1;05,11851,01/25/2007,42.07,-87.72,3;68,Cook,17197,11286;66667,7706;885246
62010,IL,1;05,19986,4-7-2008,41.83,-87.68,3;71,Will,51113,19034;28571,7769;713115
61111,IL,1;05,10758,02/14/2008,41.29,-88.15,3;74,Madison,55139,10245;71429,7832;540984
60706,IL,1;05,15660,2-2-2009,38.90,-90.04,4;29,Winnebago,27031,14914;28571,8984;385246
61259,IL,1;05,9155;25,03/19/2010,42.33,-89.01,3;75,Cook,17161,8719;285714,7853;483607
60091,IL,1;05,7500,6-9-2010,41.96,-87.80,3;64,Rock Island,27031,7142;857143,7623;114754
61277,IL,1;08,10264,1-8-2007,41.40,-90.90,4;04,Cook,17195,9503;703704,8702;557377
61260,IL,1;08,7935,08/18/2011,42.07,-87.72,3;68,Whiteside,54055,7347;222222,7927;081967
61061,IL,1;1,2874,03/19/2008,41.66,-89.93,3;93,Mercer,17141,2612;727273,8622;377049
60642,IL,1;1,19500,7-9-2008,41.19,-90.87,4;02,Ogle,0,17727;27273,8819;836066
60115,IL,1;1,10420,2-8-2006,42.01,-89.33,3;81,0,0,9472;727273,8359;098361
60450,IL,1;1,4900,06/28/2010,41.90,-87.65,3;7,De Kalb,47061,4454;545455,8117;759563
61074,IL,1;1,5840,4-9-2010,0,0,0,0,51035,5309;090909,0
60520,IL,1;1,13733,4-9-2010,41.89,-88.75,3;75,Grundy,0,12484;54545,8227;459016
60610,IL,1;11,10250,06/30/2012,0,0,0,Carroll,27031,9234;234234,0
60622,IL,1;11,10250,1-12-2012,41.36,-88.42,3;79,De Kalb,27031,9234;234234,8390;811475
60623,IL,1;11,10250,06/30/2012,42.09,-90.13,3;86,0,27031,9234;234234,8545;786885
60636,IL,1;11,10250,1-12-2012,41.76,-88.64,3;75,Cook,27031,9234;234234,8302;254098
60624,IL,1;11,10250,1-12-2012,0,0,0,Cook,27031,9234;234234,0
60614,IL,1;11,10250,02/18/2011,41.83,-87.68,3;7,Cook,27031,9234;234234,8191;557377
60634,IL,1;11,10250,06/30/2012,41.83,-87.68,3;71,Cook,27031,9234;234234,8213;696721
60089,IL,1;11,9039,06/23/2010,41.83,-87.68,3;72,Cook,47095,8143;243243,8235;836066
61853,IL,1;12,5335,09/23/2008,41.83,-87.68,3;73,Cook,39021,4763;392857,8332;371585
60202,IL,1;14,10500,1-5-2006,41.83,-87.68,3;71,Cook,27031,9210;526316,8435;688525
60201,IL,1;14,10500,10-11-2005,41.83,-87.68,3;67,Lake,27031,9210;526316,8344;737705
