Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
39180,MS,0;5,,08/20/2010,32.32,-90.87,4;53,Warren,51187,0,4517;622951
38828,MS,0;569999993,,6-9-2010,34.40,-88.87,4;36,Union,47173,0,4956;819611
39750,MS,0;57,2057,3-3-2014,33.55,-89.08,4;42,Webster,54101,3608;77193,5025;032787
38655,MS,0;69,7500,6-9-2011,34.35,-89.52,4;39,Lafayette,55065,10869;56522,6041;647541
39057,MS,1;29,9900,08/17/2011,32.45,-89.27,4;42,Newton,48351,7674;418605,11372;44262
39111,MS,1;41,7050,9-12-2012,31.87,-89.73,4;42,Simpson,28127,5000,12430;34426
38655,MS,1;7,10320,10/20/2009,34.35,-89.52,4;39,Lafayette,55065,6070;588235,14885;21858
39752,MS,1;7,14792,04/13/2010,33.53,-89.12,4;43,Webster,54101,8701;176471,15020;84699
39759,MS,1;9,6460,6-5-2013,33.45,-88.82,4;42,Oktibbeha,28105,3400,16750;10929
38655,MS,2,,11/19/2009,34.35,-89.52,4;39,Lafayette,55065,0,17512;02186
39051,MS,2;2,19690,8-12-2008,32.74,-89.53,4;41,Leake,28079,8950,19350;98361
39759,MS,2;25,11990,12/30/2011,33.45,-88.82,4;42,Oktibbeha,28105,5328;888889,19835;65574
38866,MS,2;58,20640,07/29/2010,34.38,-88.68,4;35,Lee,51105,8000,22384;67213
38652,MS,2;76,25000,06/15/2011,34.49,-89.02,4;36,Union,47173,9057;971014,24001;44262
39051,MS,2;8,24080,02/16/2009,32.74,-89.53,4;41,Leake,28079,8600,24628;52459
39232,MS,2;8,24080,04/20/2009,32.32,-90.20,4;38,Rankin,28121,8600,24460;98361
39074,MS,2;88,14400,02/16/2012,32.35,-89.47,4;38,Scott,51169,5000,25159;86885
39149,MS,3,11850,9-12-2013,31.82,-90.02,4;42,Simpson,28127,3950,26447;54098
39740,MS,3;18,,07/30/2013,33.68,-88.32,4;39,Monroe,55081,0,27844;11475
39702,MS,3;2,19500,11/16/2009,33.50,-88.40,4;42,Lowndes,28087,6093;75,28210;71038
39307,MS,3;45,24150,06/24/2011,32.38,-88.71,4;42,Lauderdale,47097,7000,30414;67213
38673,MS,3;68,22000,08/20/2011,34.27,-89.58,4;42,Lafayette,55065,5978;26087,32442;31694
39110,MS,4;6,22000,11-1-2011,32.45,-90.10,4;43,Madison,51113,4782;608696,40644;64481
39465,MS,4;77,15741,08/23/2013,31.34,-89.25,4;45,Forrest,28035,3300,42337;0082
39503,MS,4.896,,04/22/2010,30.38,-89.06,4;47,Harrison,54033,0,43650649;18
39759,MS,4;9,19895,1-11-2012,33.45,-88.82,4;42,Oktibbeha,28105,4060;204082,43197;65027
38801,MS,5,30000,06/15/2009,34.26,-88.73,4;37,Lee,51105,6000,43580;60109
39305,MS,5;1,16830,09/27/2014,32.38,-88.71,4;45,Lauderdale,47097,3300,45265;98361
38655,MS,5;1,43500,2-3-2010,34.35,-89.52,4;39,Lafayette,55065,8529;411765,44655;65574
39750,MS,5;17,20732,5-10-2012,33.55,-89.08,4;42,Webster,54101,4010;058027,45577;92896
39170,MS,5;5,18425,12-3-2013,32.10,-90.29,4;45,Hinds,28049,3350,48816;25683
39083,MS,5;82,18915,2-2-2012,31.86,-90.39,4;41,Copiah,28029,3250,51192;14754
38655,MS,6,19200,11/22/2012,34.35,-89.52,4;39,Lafayette,55065,3200,52536;06557
38652,MS,6,20400,10/29/1997,34.49,-89.02,4;36,Union,47173,3400,52177;04918
38652,MS,6,21389,02/18/2014,34.49,-89.02,4;36,Union,47173,3564;833333,52177;04918
39051,MS,6,19800,06/25/2014,32.74,-89.53,4;41,Leake,28079,3300,52775;40984
39759,MS,6;4,21188,10-9-2013,33.45,-88.82,4;42,Oktibbeha,28105,3310;625,56421;42077
38655,MS,6;45,55100,07/31/2010,34.35,-89.52,4;39,Lafayette,55065,8542;635659,56476;27049
38916,MS,6;5,22100,7-10-2014,33.85,-89.31,4;4,Calhoun,54013,3400,57043;71585
39759,MS,6;82,21020,9-3-2013,33.45,-88.82,4;42,Oktibbeha,28105,3082;111437,60124;0765
39145,MS,6;89,22720,07/17/2014,32.31,-89.80,4;42,Rankin,28121,3297;532656,60741;18579
39730,MS,6;9,48300,03/15/2011,33.82,-88.55,4;41,Monroe,55081,7000,60691;72131
39648,MS,7;59,53889,08/15/2011,31.24,-90.46,4;35,Pike,42103,7100,65852;58197
39402,MS,8;1,21746,04/30/2013,31.31,-89.30,4;41,Forrest,28035,2684;691358,71246;80328
39051,MS,8.399.999.619,,9-2-2009,32.74,-89.53,4;41,Leake,28079,0,7;38856E+13
39051,MS,8;4,79800,02/15/2009,32.74,-89.53,4;41,Leake,28079,9500,73885;57377
39465,MS,8;5,25627,10/13/2014,31.34,-89.25,4;45,Forrest,28035,3014;941176,75443;30601
39759,MS,9,23000,12-12-2014,33.45,-88.82,4;42,Oktibbeha,28105,2555;555556,79342;62295
39090,MS,9;52,34344,06/26/2013,33.05,-89.58,4;41,Attala,28007,3607;563025,83736;98361
38606,MS,9;75,33000,11/29/2013,34.31,-89.93,4;44,Panola,48365,3384;615385,86343;44262
39482,MS,9;75,33000,1-3-2014,31.41,-89.54,4;41,Lamar,48277,3384;615385,85760;04098
39701,MS,10,33200,02/26/2015,33.50,-88.40,4;42,Lowndes,28087,3320,88158;46995
39702,MS,10,32100,01/22/2015,33.50,-88.40,4;42,Lowndes,28087,3210,88158;46995
39773,MS,10;5,32084,5-7-2014,33.60,-88.64,4;42,Clay,54015,3055;619048,92566;39344
39402,MS,11;2,38080,02/27/2013,31.31,-89.30,4;41,Forrest,28035,3400,98514;09836
39464,MS,12,52800,04/28/2014,31.48,-89.03,4;45,Perry,47135,4400,106508;1967
39339,MS,13;5,103500,08/30/2010,33.12,-89.05,4;43,Winston,28159,7666;666667,119283;1967
38930,MS,32;9,199000,03/25/2011,33.51,-90.19,4;44,Leflore,28083,6048;632219,291353;7705
39051,MS,37;5,321000,08/31/2010,32.74,-89.53,4;41,Leake,28079,8560,329846;3115
