Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
28752,NC,0;92,6500,03/19/2010,35.68,-82.00,4;44,Mcdowell,0,7065;217391,8147;278689
28711,NC,1;8,,04/17/2009,0,0,0,0,37021,0,0
27889,NC,1;8,38000,04/30/2007,35.61,-82.33,4;33,Buncombe,45013,21111;11111,15545;40984
27101,NC,1;88,11000,10/13/1997,35.55,-77.05,4;4,Beaufort,37067,5851;06383,16498;79781
28712,NC,1;89,,02/17/2009,36.10,-80.24,4;52,Forsyth,37175,0,17038;91803
28786,NC,2,,05/21/2009,35.23,-82.73,4;56,Transylvania,47075,0,18190;16393
28804,NC,2;1,20300,04/29/2008,35.48,-82.99,4;32,Haywood,37021,9666;666667,18094;42623
27960,NC,2;3,,01/19/2011,35.57,-82.54,4;32,Buncombe,46069,0,19817;70492
27516,NC,2;4,21679;64,12-5-2006,35.12,-75.91,4;58,Hyde,51137,9033;183333,21923;93443
27705,NC,3,26000,05/20/1998,35.92,-79.04,4;52,Orange,37063,8666;666667,27045;90164
27712,NC,3,25000,05/20/2008,35.98,-78.91,4;5,Durham,37063,8333;333333,26926;22951
28803,NC,3;15,26000,10-11-2012,35.98,-78.91,4;49,Durham,37021,8253;968254,28209;71311
28751,NC,3;15,,5-1-2009,35.57,-82.54,4;41,Buncombe,47075,0,27707;09016
28461,NC,3;2,22000,4-1-2010,35.51,-83.09,4;27,Haywood,51025,6875,27253;33333
28787,NC,3;6,,08/29/2009,33.92,-78.02,4;69,Brunswick,37021,0,33675;7377
28748,NC,3;8,,12/28/2009,35.69,-82.55,4;17,Buncombe,37021,0,31605;40984
27513,NC,4;2,20000,03/19/2013,35.65,-82.68,4;21,Buncombe,37183,4761;904762,35267;37705
27278,NC,4;2,33485,2-8-2008,35.78,-78.79,4;54,Wake,51137,7972;619048,38031;80328
28804,NC,4;4,30000,2-11-2010,36.07,-79.10,4;51,Orange,37021,6818;181818,39579;56284
28405,NC,4;5,33500,12/30/2011,35.57,-82.54,4;32,Buncombe,37129,7444;444444,38773;77049
28805,NC,4;55,32500,4-3-2008,34.21,-77.91,4;52,New Hanover,37021,7142;857143,41019;61749
27406,NC,4;6,25000,2-1-2012,35.57,-82.54,4;37,Buncombe,37081,5434;782609,40094;15301
28714,NC,4;6,38000,12/30/2009,36.07,-79.82,4;51,Guilford,37199,8260;869565,41378;63388
27932,NC,4;62,29218,2-11-2009,35.91,-82.29,4;07,Yancey,37041,6324;242424,37504;04918
27519,NC,4;7,,01/21/2011,36.05,-76.60,4;42,Chowan,37183,0,41434;48087
27514,NC,4;94,27000,2-1-2012,35.78,-78.79,4;53,Wake,51137,5465;587045,44634;11475
28904,NC,496.999.979,,05/17/2010,35.92,-79.04,4;52,Orange,54015,0,4;4806E+12
28092,NC,5;16,,3-11-2010,35.04,-83.81,4;22,Clay,56023,0,43431;40984
28805,NC,5;16,,01/16/2009,35.47,-81.24,4;62,Lincoln,37021,0,47548;13115
28772,NC,5;28,44500,4-4-2010,35.57,-82.54,4;37,Buncombe,37175,8428;030303,46021;11475
28806,NC,5;3,,12/30/2009,35.14,-82.82,4;59,Transylvania,37021,0,48521;06557
28146,NC,5;6,34000,11-1-2010,35.57,-82.54,4;32,Buncombe,37159,6071;428571,48251;80328
28713,NC,7;2,,3-4-2009,35.66,-80.48,4;59,Rowan,37173,0,65915;40984
28203,NC,8;4,,6-11-2009,35.42,-83.44,4;12,Swain,51117,0,69026;88525
28739,NC,8;63,71934,2-1-2010,35.19,-80.83,4;62,Mecklenburg,48213,8335;341831,79523;32787
27341,NC,9;36,,12/29/2010,35.32,-82.46,4;52,Henderson,54083,0,84383;21311
28906,NC,10,,09/30/2009,35.54,-79.77,4;6,Randolph,48073,0,91748;63388
27408,NC,12,60000,12/21/2011,35.09,-84.02,4;11,Cherokee,37081,5000,98370;4918
28714,NC,17;4,73000,10/13/2011,36.07,-79.82,4;48,Guilford,37199,4195;402299,155478;0328
28753,NC,26;88,108000,05/30/2011,35.91,-82.29,4;07,Yancey,51113,4017;857143,218205;377
27331,NC,31;2,158000,09/18/2011,35.79,-82.68,4;02,Madison,0,5064;102564,250162;623
