Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
69162,NE,1;05,6995,02/24/2011,41.13,-102.97,5;71,Cheyenne,31033,6661;904762,11958;2377
68728,NE,1.337,6685,5-6-2012,42.38,-96.98,4;5,Dixon,31051,5,12000122;95
68847,NE,2,,10-12-2013,40.70,-99.08,5;05,Buffalo,55011,0,20144;80874
68506,NE,2,,03/13/2003,40.81,-96.68,4;67,Lancaster,51103,0,18628;96175
68523,NE,4;2,,09/30/2009,40.81,-96.68,4;68,Lancaster,51103,0,39204;59016
68770,NE,4;56,,5-7-2014,42.56,-96.70,4;46,Dixon,31051,0,40564;06557
68022,NE,4;8,48000,06/13/2002,41.28,-96.23,4;5,Douglas,55031,10000,43081;96721
68508,NE,5;3,50000,02/23/2011,40.81,-96.68,4;63,Lancaster,51103,9433;962264,48943;9071
68164,NE,5;46,,9-1-2010,41.26,-96.01,4;49,Douglas,55031,0,48896;83607
69341,NE,5.775,,06/21/2014,41.82,-103.66,5;6,Scotts Bluff,31157,0,64503278;69
68111,NE,9,30600,10/17/2014,41.26,-96.01,4;48,Douglas,55031,3400,80419;67213
68503,NE,10,48440,6-12-2013,40.81,-96.68,4;64,Lancaster,51103,4844,92546;44809
68061,NE,14,123250,10/15/2010,41.77,-96.22,4;46,Burt,31021,8803;571429,124538;7978
68178,NE,20;5,,06/14/2010,41.26,-96.01,4;51,Douglas,55031,0,184404;7814
68702,NE,45;6,413685,08/31/2010,42.03,-97.41,0,0,0,9072;039474,0
68110,NE,60,,4-1-2011,0,0,4;47,Douglas,55031,0,534934;4262
68178,NE,85,,08/13/2010,41.26,-96.01,4;51,Douglas,55031,0,764605;1913
