Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
11030,NY,0;3,,6-10-2005,40.79,-73.69,3;75,Nassau,36059,0,2243;852459
14625,NY,0;47,5588;3,02/29/2012,43.16,-77.61,3;81,Monroe,55081,11890,3571;614754
14625,NY,0;47,5588;3,02/29/2012,43.16,-77.61,3;81,Monroe,55081,11890,3571;614754
12989,NY,0;52,4000,9-1-1995,44.52,-74.09,3;88,Franklin,53021,7692;307692,4024;174863
12981,NY,0;547536,6253,10-3-2007,44.67,-73.82,4;06,Clinton,42035,11420;25365,4433;8448
12981,NY,0;668,6253,10-3-2007,44.67,-73.82,4;06,Clinton,42035,9360;778443,5409;339891
12921,NY,0;705,2600,12/31/2013,44.88,-73.43,3;89,Clinton,42035,3687;943262,5469;913934
12921,NY,0;705,2600,12/31/2013,44.88,-73.43,3;89,Clinton,42035,3687;943262,5469;913934
12175,NY,0;707238,8158;81,09/17/2008,42.58,-74.58,3;56,Schoharie,36095,11536;15897,5021;776269
14424,NY,0;72,5767;74,12-2-2013,42.88,-77.28,3;72,Ontario,36069,8010;75,5342;163934
12029,NY,0;765,4000,11-8-2012,42.41,-73.41,3;64,Columbia,55021,5228;75817,5553;983607
12054,NY,0;775368,8000,02/26/2004,42.62,-73.83,4;01,Albany,56001,10317;68141,6201;461056
12175,NY,0;8,8158;81,09/17/2008,42.58,-74.58,3;56,Schoharie,36095,10198;5125,5680;437158
13438,NY,0;832,7623;02,11/21/2008,43.32,-75.18,3;61,Oneida,55085,9162;283654,5990;627322
14507,NY,0;855,8710,09/27/2013,42.70,-77.27,3;67,Yates,36123,10187;1345,6258;553279
11238,NY,0;88,9908;22,12/31/2012,40.64,-73.94,3;91,Kings,36047,11259;34091,6862;797814
12077,NY,0;9652335,13460,12/24/2007,42.59,-73.78,3;96,Albany,56001,13944;81232,7623;7623
13864,NY,0;976122,13039,3-9-2004,42.29,-76.37,3;66,Tioga,42117,13357;9614,7125;6906
12529,NY,0;984906,11200,11-2-2004,42.20,-73.54,3;69,Columbia,55021,11371;64359,7248;7467
12054,NY,0;99,8000,02/26/2004,42.62,-73.83,4;01,Albany,56001,8080;808081,7918;106557
10964,NY,1,,03/24/2011,41.00,-73.91,3;82,Rockland,36087,0,7619;125683
11218,NY,1,8750,9-12-2012,40.64,-73.94,3;91,Kings,36047,8750,7798;63388
12529,NY,1,13895,07/24/2002,42.20,-73.54,3;69,Columbia,55021,13895,7359;836066
11201,NY,1,8750,9-12-2012,40.64,-73.94,3;82,Kings,36047,8750,7619;125683
12180,NY,1;02,6477,6-3-2013,42.73,-73.67,3;87,Rensselaer,36083,6350,7873;229508
14847,NY,102.393,20403;25,5-12-2008,42.61,-76.72,3;63,Seneca,39147,0;19926411,741342105;7
14414,NY,1;05,7720,11-11-2009,42.91,-77.74,3;7,Livingston,36051,7352;380952,7748;770492
14710,NY,1;05,5985,12/27/2013,42.11,-79.42,3;45,Chautauqua,36013,5700,7225;204918
