Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
37401,TN,0;525,4000,1-1-1999,35.06,-85.25,0,0,0,7619;047619,0
37401,TN,0;525,4000,02/24/1999,0,0,0,0,0,7619;047619,0
38366,TN,0;54,7000,11/23/2009,35.06,-85.25,4;23,Madison,51113,12962;96296,4555;918033
37362,TN,0;55,4000,1-1-1999,0,0,4;16,Polk,55095,7272;727273,4563;497268
37362,TN,0;55,4000,02/24/1999,35.47,-88.73,4;16,Polk,55095,7272;727273,4563;497268
37401,TN,0;56,4750,1-1-2006,35.04,-84.64,0,0,0,8482;142857,0
37397,TN,0;65,4000,1-1-2004,35.04,-84.64,4;12,Sequatchie,47153,6153;846154,5341;36612
37367,TN,0;72,,05/17/2011,35.06,-85.25,4;05,Bledsoe,47007,0,5816;065574
37334,TN,0;8,6000,1-1-2001,0,0,4;17,Lincoln,56023,7500,6653;770492
37362,TN,0;8,6000,02/24/1999,35.20,-85.51,4;16,Polk,55095,7500,6637;814208
37362,TN,0;8,6000,1-1-1999,35.60,-85.19,4;16,Polk,55095,7500,6637;814208
37723,TN,1,,05/17/2011,35.14,-86.56,4;05,Cumberland,51049,0,8077;868852
37723,TN,1,,2-2-2008,35.04,-84.64,4;05,Cumberland,51049,0,8077;868852
37327,TN,1,9000,1-1-2000,35.04,-84.64,4;09,Sequatchie,47153,9000,8157;650273
37367,TN,1,9500,1-1-2007,35.90,-84.88,4;05,Bledsoe,47007,9500,8077;868852
37601,TN,1,9500,1-1-2006,35.90,-84.88,3;89,Washington,55131,9500,7758;743169
37043,TN,1,,9-3-2010,35.37,-85.38,4;13,Montgomery,51121,0,8237;431694
37098,TN,1;02,,05/17/2011,35.60,-85.19,4;18,Hickman,47081,0,8503;901639
37098,TN,1;02,,12-12-2009,36.33,-82.36,4;18,Hickman,47081,0,8503;901639
37415,TN,1.100.000.024,,1-4-2010,36.56,-87.34,4;18,Hamilton,48193,0,9;17087E+12
37209,TN,1.149.999.976,,7-1-2010,35.87,-87.32,4;12,Davidson,47037,0,9;45011E+12
37205,TN,1.149.999.976,,7-7-2010,35.87,-87.32,4;11,Davidson,47037,0,9;42717E+12
37923,TN,1;2,11400,1-1-2007,35.06,-85.25,4;2,Knox,48275,9500,10052;45902
37011,TN,1;25,11000,1-1-2006,36.17,-86.78,0,0,0,8800,0
37601,TN,1;25,11875,1-1-2007,36.17,-86.78,3;89,Washington,55131,9500,9698;428962
37923,TN,1;32,10000,7-7-2008,35.97,-83.94,4;2,Knox,48275,7575;757576,11057;70492
37830,TN,1;32,10000,7-9-2009,36.04,-86.64,4;16,Anderson,48001,7575;757576,10952;39344
37204,TN,1;35,,05/17/2011,0,0,4;09,Davidson,47037,0,11012;82787
37204,TN,1;35,,1-7-2010,36.33,-82.36,4;09,Davidson,47037,0,11012;82787
37205,TN,1;4,13300,1-1-2007,35.97,-83.94,4;11,Davidson,47037,9500,11476;55738
37201,TN,1;4,13300,1-1-2007,35.96,-84.29,4;08,Davidson,47037,9500,11392;78689
38454,TN,1;4,13300,1-1-2007,36.17,-86.78,4;16,Hickman,47081,9500,11616;17486
37342,TN,1;6,,05/17/2011,36.17,-86.78,4;09,Coffee,47031,0,13052;24044
38571,TN,1.645,8534;57,12/27/2010,36.17,-86.78,4;01,Cumberland,51049,5;18818845,13156853;83
37129,TN,1.799.999.952,,10-2-2009,36.17,-86.78,4;07,Rutherford,47149,0,1;4612E+13
37846,TN,1.799.999.952,,7-1-2010,35.71,-87.35,4;18,Loudon,47105,0,1;50069E+13
37204,TN,1;8,,05/17/2011,35.36,-85.95,4;09,Davidson,47037,0,14683;77049
37129,TN,1;8,,05/17/2011,35.95,-85.03,4;07,Rutherford,47149,0,14611;96721
37040,TN,1;8,,05/17/2011,35.85,-86.39,4;13,Montgomery,51121,0,14827;37705
37204,TN,1;8,,6-1-2008,35.67,-84.40,4;09,Davidson,47037,0,14683;77049
37129,TN,1;8,,06/24/2009,36.17,-86.78,4;07,Rutherford,47149,0,14611;96721
37040,TN,1;8,,3-2-2011,35.85,-86.39,4;13,Montgomery,51121,0,14827;37705
37075,TN,1;84,,05/17/2011,36.56,-87.34,4;08,Sumner,47165,0,14973;37705
38571,TN,1;92,,05/17/2011,36.17,-86.78,4;01,Cumberland,51049,0,15356;32787
38571,TN,1;92,,09/29/2010,35.85,-86.39,4;01,Cumberland,51049,0,15356;32787
38555,TN,1;92,,05/22/2012,36.56,-87.34,4;04,Cumberland,51049,0,15471;21311
37342,TN,1;94,,12-9-2009,36.29,-86.60,4;09,Coffee,47031,0,15825;84153
37015,TN,2,,05/17/2011,35.95,-85.03,4;13,Cheatham,47021,0,16474;86339
38476,TN,2,,05/17/2011,35.95,-85.03,4;17,Hickman,47081,0,16634;42623
