Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS,Cost/size,Annual generated kWh
53562,WI,0;15,1547,09/27/2002,43.10,-89.50,3;96,Dane,55025,10313;33333,1184;754098
54827,WI,0;15,2776,07/22/2004,46.79,-91.10,3;87,Bayfield,55007,18506;66667,1157;827869
54401,WI,0;207,0,09/15/2003,44.96,-89.64,3;84,Marathon,55073,0,1585;416393
54401,WI,0;22,2293;4,06/28/2005,44.96,-89.64,3;84,Marathon,55073,10424;54545,1684;983607
54401,WI,0;22,1008,10/29/2004,44.96,-89.64,3;84,Marathon,55073,4581;818182,1684;983607
54909,WI,0;249,2229;79,02/18/2004,44.26,-89.40,3;82,Portage,55097,8954;97992,1897;162295
54557,WI,0;25,2112;4,10/27/2005,46.25,-89.73,3;94,Vilas,55125,8449;6,1964;617486
54452,WI,0;256,0,10-3-2003,45.18,-89.70,3;91,Lincoln,56023,0,1996;450273
54004,WI,0;285,0,09/26/2003,45.32,-92.17,3;95,Polk,55095,0,2245;348361
53597,WI,0;316,1875,9-3-2004,43.18,-89.45,3;99,Dane,55025,5933;544304,2514;790164
54103,WI,0;36,4678;73,01/28/2005,45.65,-88.44,4;05,Forest,55041,12996;47222,2908;032787
54121,WI,0;36,5435;08,01/28/2005,45.93,-88.25,4;02,Florence,55037,15097;44444,2886;491803
53948,WI,0;36,1467;51,09/28/2005,43.80,-90.08,3;87,Juneau,55057,4076;416667,2778;786885
54909,WI,0;375,3582;53,09/24/2004,44.26,-89.40,3;82,Portage,55097,9553;413333,2857;172131
54603,WI,0;48,5667,12/15/2002,43.82,-91.23,3;9,La Crosse,55063,11806;25,3733;770492
54154,WI,0;48,0,9-9-2003,44.87,-88.14,3;94,Oconto,55083,0,3772;065574
53522,WI,0;48,8349;14,5-7-2002,42.57,-89.79,3;79,Green,55045,17394;04167,3628;459016
54548,WI,0;48,1006,7-7-2003,45.86,-89.69,3;92,Oneida,55085,2095;833333,3752;918033
53503,WI,0;48,5527;09,04/18/2003,43.16,-89.91,3;84,Iowa,55049,11514;77083,3676;327869
53086,WI,0;48,4349;43,3-7-2003,43.33,-88.28,3;71,Washington,55131,9061;3125,3551;868852
