id,rate
46135,3.92
42087,4.27
12019,3.94
12015,3.74
12017,3.65
20151,4.41
20155,4.33
13053,3.62
13057,3.64
5059,3.66
5055,3.67
5051,3.66
5053,3.69
8035,4.02
8037,4.06
8031,4.02
8033,4
8039,4.1
16001,3.42
48209,3.59
48201,3.59
48207,3.57
48205,3.61
35057,4.29
35055,4.28
35053,4.32
35051,4.36
55129,4.03
55121,4.08
55123,4.06
55125,4.08
55127,4.08
27009,4.49
27007,4.43
49055,3.64
49057,3.56
49051,3.56
49053,3.59
48017,3.6
48015,3.59
40069,4
40061,4.01
40067,4.04
40065,4.05
38039,4.3
38037,4.34
47041,3.98
47043,3.98
39071,4.47
39073,4.42
39079,4.44
13321,3.63
20121,4.37
20129,4.3
41071,3.97
29045,4.6
29047,4.65
31069,4.6
31067,4.68
31065,4.66
31063,4.58
31061,4.64
51640,4.51
56017,4.05
56011,4.06
56013,4.12
56019,4.17
18101,3.73
18103,3.74
18109,3.73
30075,4.38
30071,4.38
30079,4.44
19053,3.94
19055,3.94
19057,3.94
21157,4.01
21155,4
21153,4.03
53073,3.81
13157,3.59
13155,3.53
13153,3.71
13159,3.57
37023,4.18
37025,4.18
37027,4.11
37029,4.18
45053,3.94
36039,4.56
36031,4.58
36033,4.52
36035,4.54
36037,4.53
19151,4.04
19153,4
12121,3.84
12123,3.71
12125,3.63
48367,3.59
48093,3.6
48091,3.59
45065,3.87
45067,3.91
45069,3.92
26141,3.7
26143,3.72
26149,3.61
2050,3.74
30069,4.36
48051,3.56
42031,4.24
42035,4.26
42039,4.24
55017,4.05
55011,4.1
55013,4.02
55019,4.03
1053,3.78
1057,3.75
2150,3.79
40145,4.09
40143,4.09
15007,3.46
15003,3.42
15001,3.43
15009,3.42
37087,4.05
48469,3.44
48467,3.48
48465,3.42
48463,3.61
48461,3.57
1039,3.79
1033,3.6
1031,3.66
1037,3.62
1035,3.63
51009,4.38
51007,4.43
51005,4.34
51003,4.4
51001,4.43
8085,4.04
8087,4.07
8081,4.07
8083,4.02
8089,4.03
21219,4
21211,4.08
21213,4.1
21215,4.09
21217,4.11
50013,4.23
50011,4.23
28107,4.62
28105,4.63
28103,4.61
28101,4.66
38105,4.35
38103,4.38
38101,4.35
21237,4.04
21231,4
47135,4.07
47137,4.08
21053,3.97
21051,4.09
21057,4.04
13211,3.66
13215,3.66
13219,3.67
20011,4.18
20015,4.21
20017,4.18
20019,4.16
42041,4.24
42045,4.2
22041,4.26
22043,4.31
37137,4.19
37135,4.14
48197,3.61
48195,3.59
48193,3.57
48191,3.6
20197,4.23
20191,4.39
13021,3.7
13027,3.68
13029,3.7
51530,4.38
6013,3.81
6019,3.79
5089,3.67
5083,3.69
5081,3.66
8009,4.05
8005,4.02
8007,4.02
8001,4.16
8003,4.02
17033,3.8
17035,3.68
17037,3.71
42129,4.04
42127,4.08
42123,4.08
55111,4.08
55113,4.1
55115,3.95
55117,4.1
55119,4.09
53075,3.77
32009,4.58
32003,4.58
26039,3.54
26035,3.45
26037,3.46
26031,3.49
26033,3.54
48063,3.54
48067,3.6
48065,3.58
48069,3.61
29133,4.64
29135,4.61
29137,4.57
39041,4.5
39045,4.43
39047,4.43
12043,3.62
12041,3.98
12047,3.96
13319,3.55
13315,3.5
13317,3.57
20119,4.28
20115,4.22
20117,4.27
55025,4.07
1107,3.69
1105,3.7
1103,3.7
1109,3.7
55021,4.04
29075,4.68
29073,4.57
31035,4.69
31037,4.67
31033,4.62
6091,3.81
6093,3.67
6095,3.68
5001,3.69
5009,3.64
30025,4.58
30021,4.44
19061,4.05
19063,4.04
19067,3.89
53049,3.7
53045,3.78
13101,3.52
13103,3.81
35023,4.33
37079,4.16
37075,4.08
37073,4.13
31091,4.66
6115,3.71
6111,3.76
36067,4.47
36069,4.54
49001,3.59
49007,3.61
49009,3.62
48359,3.58
48357,3.62
48353,3.62
29203,4.64
29201,4.59
29207,4.6
29205,4.59
29209,4.59
38069,4.3
38061,4.27
38063,4.35
38067,4.29
40031,4.06
40033,3.98
40037,3.96
30033,4.42
30039,4.49
4019,4.2
4011,4.05
4017,4.19
24043,4.23
42049,4.21
42047,4.23
19017,4.11
19013,4.05
48145,3.61
48141,3.61
55027,3.91
56043,4
56041,4.13
56045,4.01
39169,4.46
4015,4.02
19087,3.96
48435,3.62
48437,3.6
48433,3.62
48439,3.59
51051,4.45
51053,4.37
17015,3.87
19103,3.95
19107,3.95
19109,3.95
46051,3.79
46055,3.85
46057,3.76
21085,4.11
21087,4.11
42081,4.22
16037,3.37
31085,4.59
31087,4.64
31081,4.53
31083,4.66
31089,4.67
6029,3.7
6021,3.79
6023,3.78
6027,3.79
1069,3.69
1063,3.72
17003,3.77
17005,3.51
17007,3.88
32033,4.67
26003,3.5
18051,3.71
48103,3.63
48109,3.66
21009,4.12
21001,4.1
21005,4.1
29101,4.59
29105,4.61
29107,4.61
22015,4.36
48227,3.61
51105,4.48
51103,4.48
51101,4.48
51109,4.47
37165,4.18
37167,4.07
47025,3.99
47023,3.97
12033,3.76
12031,3.66
12037,3.68
12035,3.7
13071,3.61
13073,3.57
13077,3.57
2180,3.8
2188,3.66
31009,4.65
31005,4.63
31007,4.61
31001,4.66
31003,4.66
5079,3.73
5073,3.66
5071,3.76
5077,3.7
5075,3.66
36113,4.5
36111,4.56
36117,4.57
36115,4.51
8053,4.03
8051,4.07
30011,4.52
30013,4.53
8059,4.01
30019,4.49
16029,3.41
19035,3.96
19033,4.02
16027,3.38
17081,3.87
17087,3.76
13135,3.68
13137,3.66
13131,3.81
54011,3.94
27025,4.46
27027,4.45
27021,4.48
27023,4.52
17123,3.83
17121,3.83
17127,3.83
48383,3.6
48381,3.62
48033,3.6
45003,3.85
45001,4.01
48039,3.61
38053,4.38
38057,4.31
38059,4.31
40003,4.08
40007,4.01
40009,3.97
39097,4.42
20143,4.37
20149,4.41
41011,3.99
41015,3.99
41017,4
28033,4.64
28031,4.57
28037,4.6
29113,4.6
29111,4.65
48173,3.58
48179,3.58
56033,4.09
56031,4.17
56037,4.08
56035,3.98
56039,4.14
33015,4.48
33013,4.53
33019,4.74
30099,4.4
30097,4.41
30093,4.39
39113,4.53
39111,4.42
39117,4.4
39119,4.43
53019,3.73
48401,3.42
51061,4.36
51063,4.44
8097,4.02
8093,4.02
8091,4.06
48237,3.61
48235,3.61
36017,4.57
36013,4.59
46065,3.74
46069,3.82
48301,3.61
48307,3.59
48309,3.58
17045,3.64
17047,3.74
17049,3.64
20165,4.41
55073,4.01
55071,4.02
55077,4.05
55075,4.1
55079,4.08
51550,4.46
2170,3.75
40121,4.05
6073,3.79
6071,3.73
6079,3.72
21239,4.1
17057,3.8
17055,3.85
17053,3.83
17051,3.64
17059,3.66
18087,3.68
28129,4.6
28125,4.61
28127,4.58
36093,4.52
36091,4.43
21031,4
21035,4.14
21037,4.12
18015,3.74
25019,3.65
25015,3.67
29153,4.62
5149,3.77
5143,3.75
5141,3.79
37151,4.01
37153,4.11
46103,3.91
46107,3.91
46105,3.89
13045,3.57
18077,3.78
39095,4.46
8029,4.02
8023,4.07
8021,4.05
8027,4.01
48239,3.6
48233,3.59
35049,4.27
35045,4.43
35043,4.34
27019,4.48
27017,4.39
27011,4.51
27013,4.59
48363,3.57
26059,3.49
26055,3.54
18085,3.7
18083,3.7
48097,3.51
48095,3.57
48009,3.62
48001,3.63
48003,3.56
48005,3.56
23009,4.31
40059,4.05
40057,4.04
40055,4.05
40051,3.98
38001,4.27
30009,4.4
39067,4.42
39063,4.44
39069,4.44
12069,3.74
12061,3.84
12063,3.79
12065,3.96
12067,3.97
23005,4.35
20137,4.32
20135,4.11
41045,3.96
41043,3.94
41041,3.95
41049,3.92
28043,4.64
28041,4.62
53039,3.7
29053,4.58
29051,4.63
29055,4.62
29059,4.65
31057,4.58
31055,4.68
55087,4.02
55085,3.99
55089,3.96
48423,3.56
30043,4.46
30041,4.44
30047,4.43
30045,4.49
19047,3.92
19043,4.03
19041,3.99
53063,3.86
53061,3.78
53065,3.68
13167,3.76
17097,3.8
1085,3.75
1083,3.72
1081,3.77
1089,3.68
37055,4.18
37057,4.03
37051,4.15
37059,4.04
54009,3.97
54001,3.95
17009,3.62
51045,4.4
36049,4.54
36047,4.54
36041,4.54
36043,4.55
8105,3.96
8107,3.99
8103,3.96
8109,3.96
49029,3.58
46039,3.73
46037,3.86
46035,3.79
46033,3.85
46031,3.79
48371,3.56
48377,3.58
48375,3.64
29223,4.59
29225,4.54
48081,3.56
48083,3.59
48085,3.59
48089,3.6
26155,3.58
26151,3.68
26159,3.6
42021,4.25
42023,4.26
42025,4.2
42027,4.21
42029,4.21
48127,3.61
48125,3.62
55009,3.95
55003,3.98
55001,3.99
55007,4.05
55005,4.1
51630,4.48
27127,4.54
37091,4.14
37097,4.24
39145,4.42
39149,4.42
48453,3.54
48451,3.62
48457,3.63
48455,3.57
1009,3.67
1007,3.65
1005,3.73
1003,3.54
1001,3.68
51033,4.28
51031,4.41
51036,4.42
51037,4.34
51035,4.39
50023,4.23
50021,4.23
50027,4.21
50025,4.37
28115,4.62
28117,4.59
28119,4.58
18055,3.76
18053,3.69
18059,3.71
18035,3.71
18037,3.69
18031,3.7
18039,3.79
19129,3.97
19121,3.99
19123,3.95
19125,3.95
19127,3.95
48117,3.6
47123,4.08
47125,4.09
47129,4.02
48111,3.61
21061,4.12
13207,3.64
13205,3.64
13209,3.66
20009,4.21
37101,4.2
48203,3.6
2122,3.82
21093,4.04
5091,3.74
16049,3.42
19095,3.98
16045,3.42
16041,3.43
42133,4.09
42131,4.09
32011,4.6
48059,3.47
29127,4.66
29125,4.64
29123,4.56
29129,4.59
22031,4.34
22033,4.4
22035,4.38
22039,4.33
37189,4.1
37187,4.15
37185,4.21
37183,4.12
37181,4.17
47001,4.02
47003,3.86
39039,4.47
12051,3.79
12053,3.85
12057,3.68
12059,3.9
28091,4.56
28097,4.61
53069,3.74
31029,4.56
31023,4.66
31021,4.66
31027,4.67
31025,4.62
6089,3.83
6085,3.8
6081,3.7
13165,3.73
8079,4.12
30035,4.46
8071,4.09
8073,3.9
8075,3.94
8077,3.95
16061,3.46
48243,3.59
13111,3.58
13117,3.77
27043,4.46
27041,4.45
27047,4.48
27045,4.5
35019,4.27
48229,3.59
37069,4.13
37067,4.13
37061,4.18
36075,4.54
36071,4.53
36079,4.55
17101,3.83
17103,3.83
17105,3.83
17109,3.82
49011,3.54
49013,3.58
49015,3.6
49017,3.62
26105,3.69
26101,3.73
38079,4.3
38075,4.3
40025,4.01
40023,4
4009,3.99
4001,4.07
4003,4.16
4005,4.1
42079,4.21
20175,4.36
42071,4.19
20169,4.36
41035,3.99
41033,3.97
41031,3.98
41039,3.95
28017,4.65
41003,3.98
41001,3.95
48157,3.61
48159,3.59
29001,4.63
29003,4.64
29009,4.6
28009,4.56
39173,4.41
39175,4.46
21113,4.14
21111,4.02
21117,4.05
53031,3.78
53033,3.73
53035,3.69
53037,3.76
48429,3.64
48421,3.57
48427,3.41
51049,4.35
51041,4.39
19111,3.96
19113,3.94
19115,3.95
19119,3.97
46049,3.75
46047,3.77
46041,3.76
48329,3.61
48323,3.59
48327,3.6
20059,4.21
20057,4.21
2090,3.81
55053,4.01
55055,4.08
12086,3.8
12087,3.86
12083,3.86
29081,4.65
54107,3.86
54101,3.95
54103,4.05
55051,4.05
51570,4.39
55057,4.03
2110,3.79
40109,4
40107,3.97
6057,3.81
6051,3.78
6053,3.78
10005,3.79
10003,3.79
1079,3.71
1077,3.74
1075,3.61
1073,3.74
1071,3.81
49021,3.61
49027,3.64
17075,3.57
17077,3.71
17073,3.76
29229,4.6
28147,4.59
18069,3.71
18067,3.7
47175,4.05
47177,4.02
21017,4.1
21015,4.07
21013,4.06
48505,3.61
30087,4.45
29175,4.63
22003,4.3
51111,4.48
10001,3.79
37175,4.21
37171,4.13
37179,4.15
30017,4.49
8057,3.95
8055,4.01
47035,3.95
47037,3.97
47031,3.99
46121,3.91
46123,3.9
46127,3.82
12009,3.94
12007,3.89
13065,3.71
13063,3.56
13061,3.55
13069,3.68
16023,3.43
16025,3.43
19031,3.93
5045,3.62
5043,3.61
5041,3.69
36109,4.54
36105,4.55
36107,4.53
8041,3.93
8043,4.03
8045,4.02
8049,4.02
19029,3.97
19025,3.94
19027,3.96
19021,3.91
19023,4.04
48215,3.54
48217,3.6
48211,3.59
48213,3.59
48219,3.6
54027,3.95
54025,4
54023,3.97
35061,4.33
26075,3.48
54013,3.94
54017,3.96
44001,3.45
44003,3.44
49047,3.55
49045,3.57
49043,3.51
48393,3.55
48027,3.54
48025,3.61
48023,3.58
48021,3.62
23021,4.42
23023,4.33
23027,4.37
26137,3.68
26133,3.75
38023,4.4
40075,3.99
40077,4.06
40071,4
39083,4.41
42085,4.24
42083,4.21
41063,3.98
28021,4.63
28023,4.62
28025,4.61
28027,4.6
29039,4.64
29031,4.6
29033,4.54
29037,4.65
31079,4.66
31071,4.64
31075,4.66
31077,4.68
22125,4.24
51650,4.49
56007,4.01
56003,4.05
56001,4.06
56009,4.04
33009,4.74
37085,4.02
30063,4.37
30067,4.37
37083,4.08
21163,4.05
21161,3.99
53001,3.77
53005,3.8
53007,3.82
13141,3.58
13143,3.66
13145,3.72
13147,3.64
28077,4.62
37033,4.19
37031,4.05
37037,4.09
37035,4.14
36029,4.55
36027,4.59
36025,4.49
