Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
92307,CA,7.0,0.0,12/9/2013,34.57,-117.15,8;17,San Bernardino,6071
93725,CA,7.0,43495.0,09/28/2006,36.60,-119.75,5;97,Fresno,6019
95648,CA,7.0,58310.0,12/12/2006,38.93,-121.25,5;73,Placer,6061
92109,CA,7.0,55325.0,11/28/2006,32.79,-117.23,4;93,San Diego,6073
93654,CA,7.0,54402.0,03/23/2007,36.65,-119.40,6;06,Fresno,6019
90640,CA,7.0,55325.0,04/18/2008,34.00,-118.10,5;67,Los Angeles,6037
95631,CA,7.0,59100.0,11/28/2006,39.03,-120.82,6;46,Placer,6061
92264,CA,7.0,48954.29,11/9/2006,33.72,-116.51,7;54,Riverside,6065
96002,CA,7.0,55310.0,4/2/2007,40.52,-122.32,6;03,Shasta,6089
95605,CA,7.0,48650.0,04/26/2007,38.59,-121.54,5;69,Yolo,6113
93312,CA,7.0,55373.0,9/5/2006,35.38,-119.22,5;97,Kern,6029
92308,CA,7.0,34878.0,12/17/2013,34.42,-117.14,8;06,San Bernardino,6071
92308,CA,7.0,28500.0,2/7/2014,34.42,-117.14,8;06,San Bernardino,6071
92311,CA,7.0,14389.8,1/9/2014,34.97,-116.99,8;21,San Bernardino,6071
94558,CA,7.0,58518.0,04/26/2007,38.55,-122.15,5;77,Napa,6055
93268,CA,7.0,55373.0,12/12/2006,35.17,-119.36,6;23,Kern,6029
93221,CA,7.0,34495.0,05/29/2007,36.28,-119.03,6;05,Tulare,6107
94010,CA,7.0,54057.46,7/3/2007,37.56,-122.37,4;82,San Mateo,6081
93662,CA,7.0,55310.0,12/28/2006,36.53,-119.64,5;97,Fresno,6019
92374,CA,7.0,55133.0,12/12/2006,34.06,-117.17,6;78,San Bernardino,6071
93265,CA,7.0,55373.0,03/20/2007,36.17,-118.70,7;17,Tulare,6107
95340,CA,7.0,55373.0,12/12/2006,37.29,-120.48,5;84,Merced,6047
93551,CA,7.0,55310.0,03/23/2007,34.61,-118.27,7;41,Los Angeles,6037
93308,CA,7.0,55373.0,12/14/2006,35.54,-118.91,6;30,Kern,6029
95682,CA,7.0,55653.0,1/12/2007,38.61,-120.97,5;85,El Dorado,6017
93619,CA,7.0,49563.0,2/9/2007,36.91,-119.58,6;06,0,0
92530,CA,7.0,55825.0,12/14/2006,0,0,0,Riverside,6065
95304,CA,7.0,54137.0,03/23/2007,33.68,-117.37,6;21,San Joaquin,6077
93105,CA,7.0,27364.0,03/29/2007,37.69,-121.39,5;98,Santa Barbara,6083
95963,CA,7.0,57450.0,3/1/2007,34.01,-119.72,6;84,Glenn,6021
95648,CA,7.0,58183.0,12/18/2006,39.73,-122.33,6;11,Placer,6061
95111,CA,7.0,53873.0,03/27/2007,38.93,-121.25,5;73,Santa Clara,6085
95667,CA,7.0,55310.0,1/12/2007,37.28,-121.83,5;90,El Dorado,6017
94531,CA,7.0,57310.0,4/2/2007,38.73,-120.80,6;13,Contra Costa,6013
95212,CA,7.0,56060.0,4/2/2007,37.96,-121.76,5;58,San Joaquin,6077
93291,CA,7.0,43495.0,8/10/2007,38.04,-121.20,5;74,Tulare,6107
93422,CA,7.0,56310.0,03/20/2007,36.40,-119.38,5;96,San Luis Obispo,6079
94518,CA,7.0,55310.0,4/5/2007,35.45,-120.71,6;55,Contra Costa,6013
93277,CA,7.0,55310.0,4/2/2007,37.95,-122.02,5;63,Tulare,6107
95969,CA,7.0,50500.0,03/20/2007,36.29,-119.38,5;94,Butte,46019
94074,CA,7.0,59980.34,4/2/2007,39.74,-121.61,5;97,San Mateo,6081
94513,CA,7.0,56910.0,03/27/2007,37.33,-122.34,4;21,Contra Costa,6013
93638,CA,7.0,55310.0,06/22/2007,37.87,-121.68,5;65,Madera,6039
95361,CA,7.0,48038.03,6/4/2007,37.01,-119.94,5;95,Stanislaus,6099
92210,CA,7.0,31500.0,04/13/2007,37.80,-120.74,5;79,Riverside,6065
95472,CA,7.0,56660.0,04/13/2007,33.70,-116.33,7;64,Sonoma,6097
92127,CA,7.0,64475.0,06/22/2007,38.40,-122.86,5;28,San Diego,6073
95127,CA,7.0,49894.0,11/14/2006,33.02,-117.12,5;91,Santa Clara,6085
95123,CA,7.0,49894.0,12/14/2006,37.37,-121.75,5;95,Santa Clara,6085
92313,CA,7.0,30138.06,1/3/2014,37.23,-121.82,5;93,San Bernardino,6071
92129,CA,7.0,55007.31,06/15/2007,34.03,-117.31,6;46,San Diego,6073
93013,CA,7.0,52629.0,11/16/2007,32.96,-117.12,5;87,Santa Barbara,6083
92118,CA,7.0,55134.0,7/10/2007,34.43,-119.52,5;76,San Diego,6073
92336,CA,7.0,33089.13,04/25/2013,32.65,-117.14,5;32,San Bernardino,6071
92336,CA,7.0,30794.94,02/17/2014,34.14,-117.45,6;63,San Bernardino,6071
92336,CA,7.0,34300.0,02/20/2014,34.14,-117.45,6;63,San Bernardino,6071
92337,CA,7.0,34300.0,01/29/2014,34.14,-117.45,6;63,San Bernardino,6071
92337,CA,7.0,30131.77,11/6/2013,34.05,-117.46,6;07,San Bernardino,6071
92344,CA,7.0,43750.0,12/5/2011,34.05,-117.46,6;07,0,0
92344,CA,7.0,31422.0,02/24/2014,34.39,-117.39,7;95,0,0
92344,CA,7.0,17175.0,12/17/2013,0,0,0,0,0
92345,CA,7.0,38461.54,02/18/2013,34.39,-117.39,7;95,San Bernardino,6071
92345,CA,7.0,42000.0,11/5/2013,0,0,0,San Bernardino,6071
92345,CA,7.0,30527.0,2/4/2013,34.39,-117.39,7;95,San Bernardino,6071
92345,CA,7.0,57695.0,06/23/2008,0,0,0,San Bernardino,6071
92345,CA,7.0,26800.0,10/16/2013,34.36,-117.32,7;72,San Bernardino,6071
92345,CA,7.0,0.0,12/11/2013,34.36,-117.32,7;72,San Bernardino,6071
92346,CA,7.0,28002.2,02/14/2014,34.36,-117.32,7;72,San Bernardino,6071
92346,CA,7.0,27055.0,2/5/2014,34.36,-117.32,7;72,San Bernardino,6071
93446,CA,7.0,49894.0,10/27/2005,34.36,-117.32,7;72,San Luis Obispo,6079
92021,CA,7.0,50587.59,08/16/2007,34.36,-117.32,7;72,San Diego,6073
95672,CA,7.0,50516.2,11/14/2006,34.13,-117.15,7;14,El Dorado,6017
93636,CA,7.0,55310.0,11/9/2006,34.13,-117.15,7;14,0,0
93602,CA,7.0,43495.0,06/26/2006,35.61,-120.76,6;77,Fresno,6019
93923,CA,7.0,54447.53,11/2/2007,32.84,-116.88,6;37,Monterey,6053
