Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=10&minsize=7&state=CA
92307,CA,7.0,0.0,12-9-2013,
93725,CA,7.0,43495.0,09/28/2006,
95648,CA,7.0,58310.0,12-12-2006,
92109,CA,7.0,55325.0,11/28/2006,
93654,CA,7.0,54402.0,03/23/2007,
90640,CA,7.0,55325.0,04/18/2008,
95631,CA,7.0,59100.0,11/28/2006,
92264,CA,7.0,48954.29,11-9-2006,
96002,CA,7.0,55310.0,4-2-2007,
95605,CA,7.0,48650.0,04/26/2007,
93312,CA,7.0,55373.0,9-5-2006,
92308,CA,7.0,34878.0,12/17/2013,
92308,CA,7.0,28500.0,2-7-2014,
92311,CA,7.0,14389.8,1-9-2014,
94558,CA,7.0,58518.0,04/26/2007,
93268,CA,7.0,55373.0,12-12-2006,
93221,CA,7.0,34495.0,05/29/2007,
94010,CA,7.0,54057.46,7-3-2007,
93662,CA,7.0,55310.0,12/28/2006,
92374,CA,7.0,55133.0,12-12-2006,
93265,CA,7.0,55373.0,03/20/2007,
95340,CA,7.0,55373.0,12-12-2006,
93551,CA,7.0,55310.0,03/23/2007,
93308,CA,7.0,55373.0,12/14/2006,
95682,CA,7.0,55653.0,1-12-2007,
93619,CA,7.0,49563.0,2-9-2007,
92530,CA,7.0,55825.0,12/14/2006,
95304,CA,7.0,54137.0,03/23/2007,
93105,CA,7.0,27364.0,03/29/2007,
95963,CA,7.0,57450.0,3-1-2007,
95648,CA,7.0,58183.0,12/18/2006,
95111,CA,7.0,53873.0,03/27/2007,
95667,CA,7.0,55310.0,1-12-2007,
94531,CA,7.0,57310.0,4-2-2007,
95212,CA,7.0,56060.0,4-2-2007,
93291,CA,7.0,43495.0,8-10-2007,
93422,CA,7.0,56310.0,03/20/2007,
94518,CA,7.0,55310.0,4-5-2007,
93277,CA,7.0,55310.0,4-2-2007,
95969,CA,7.0,50500.0,03/20/2007,
94074,CA,7.0,59980.34,4-2-2007,
94513,CA,7.0,56910.0,03/27/2007,
93638,CA,7.0,55310.0,06/22/2007,
95361,CA,7.0,48038.03,6-4-2007,
92210,CA,7.0,31500.0,04/13/2007,
95472,CA,7.0,56660.0,04/13/2007,
92127,CA,7.0,64475.0,06/22/2007,
95127,CA,7.0,49894.0,11/14/2006,
95123,CA,7.0,49894.0,12/14/2006,
