Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=SC
29689,SC,1,,9-1-2009,
29689,SC,1,,2-1-2008,
29601,SC,1.02,,12-1-2007,
29406,SC,1.07,9500,11-10-2009,
29682,SC,1.07,9500,04/13/2010,
29483,SC,1.08,,6-1-2009,
29681,SC,1.1,,12-1-1998,
29669,SC,1.2,,5-1-2008,
29556,SC,1.2,,12-1-1992,
29669,SC,1.2,,1-2-2008,
29614,SC,1.296,,5-1-2009,
29071,SC,1.4,,12-1-2008,
29690,SC,1.5,,12-1-2009,
29925,SC,1.5,,12-1-2007,
29466,SC,1.56,,10-5-2009,
29651,SC,1.66,,1-7-2008,
29410,SC,1.68,,6-1-2008,
29658,SC,1.7,,12-1-1999,
29614,SC,1.8,,1-5-2008,
29205,SC,1.8,,8-1-2009,
29407,SC,1.8,,1-3-2007,
29651,SC,1.8,,1-1-1999,
29614,SC,1.8,,2-3-2009,
29681,SC,1.935,,10-4-2009,
29669,SC,1.944,,11-2-2009,
29045,SC,2,,10-1-2008,
29809,SC,2,,8-1-2007,
29039,SC,2,,10-1-2008,
29407,SC,2,,6-2-2009,
29061,SC,2,,5-1-2008,
29614,SC,2,,1-1-1998,
29620,SC,2,,10-1-2009,
29644,SC,2,,1-1-1999,
29728,SC,2,,9-1-2008,
29554,SC,2,,12-1-2008,
29658,SC,2,,12-1-2000,
29572,SC,2,,5-3-2008,
29202,SC,2,,8-2-2009,
29691,SC,2,,5-1-2009,
29601,SC,2,,12-1-2000,
29511,SC,2,,10-1-2008,
29910,SC,2,,2-1-2009,
29512,SC,2,,3-1-2009,
29036,SC,2,,5-1-2008,
29809,SC,2,,1-10-2007,
29412,SC,2,,12-1-2007,
29651,SC,2.016,,1-1-2009,
29620,SC,2.016,,11-5-2009,
29202,SC,2.025,,11-8-2009,
29505,SC,2.04,,1-9-2007,
29614,SC,2.05,,1-5-2007,
29407,SC,2.05,23900,12/15/2009,
29601,SC,2.1,,12-1-2007,
29356,SC,2.1,,6-1-2008,
29733,SC,2.15,,7-1-2008,
29681,SC,2.15,,9-1-2007,
29681,SC,2.15,,1-8-2007,
29576,SC,2.2,,1-6-2008,
29904,SC,2.24,,12-2-2008,
29640,SC,2.25,,10-2-2009,
29644,SC,2.365,,10-3-2009,
29650,SC,2.4,,12-1-1999,
29306,SC,2.4,,1-1-2001,
29560,SC,2.46,,1-2-2007,
29634,SC,2.46,,1-1-2007,
29485,SC,2.5,,8-2-2008,
29691,SC,2.5,,1-1-2005,
29671,SC,2.535,,12-1-2009,
29560,SC,2.64,,12-1-2007,
29401,SC,2.8,,2-1-2009,
29520,SC,2.8,,1-4-2007,
29664,SC,2.82,,12-1-2002,
29061,SC,3,,9-1-2009,
29451,SC,3,,1-6-2007,
29560,SC,3,,10-1-2008,
29715,SC,3,,7-2-2008,
29464,SC,3,27000,5-10-2009,
29045,SC,3,,7-6-2009,
29401,SC,3.01,,3-1-2009,
29631,SC,3.124,,12-1-2008,
29073,SC,3.15,,7-5-2009,
29566,SC,3.15,,10-1-2009,
29585,SC,3.2,,9-2-2008,
29576,SC,3.2,,12-1-2008,
29575,SC,3.2,,2-1-2008,
29585,SC,3.3,,5-4-2008,
29614,SC,3.36,,1-3-2008,
29407,SC,3.36,,1-4-2008,
29733,SC,3.44,,6-1-2009,
29621,SC,3.44,,12-1-2009,
29449,SC,3.68,,11-1-2009,
29644,SC,3.87,,11-4-2009,
29646,SC,4,,12-1-2007,
29407,SC,4,,12-1-2008,
29926,SC,4.05,,11-9-2009,
29572,SC,4.156,,8-1-2008,
29572,SC,4.16,,6-1-2008,
29585,SC,4.16,,6-2-2008,
29322,SC,4.2,,2-4-2009,
29407,SC,4.2,,1-7-2007,
29630,SC,4.4,,10-1-2009,
29640,SC,4.4,,12-3-2008,
29322,SC,4.701,,7-3-2009,
29691,SC,4.73,,11-6-2009,
29642,SC,4.84,,12-1-2009,
29033,SC,4.95,,7-4-2009,
29078,SC,5,,12-1-2009,
29576,SC,5,35000,12/20/2009,
29575,SC,5,35000,12/20/2009,
29935,SC,5,,12-1-2007,
29926,SC,5.04,,2-2-2009,
29926,SC,5.04,,7-2-2009,
29812,SC,5.06,,12-1-2009,
29651,SC,5.16,,1-1-2008,
29640,SC,5.8,,1-1-2010,
29645,SC,6.02,,8-1-2009,
29449,SC,6.15,65000,9-1-2009,
29138,SC,6.21,,11-3-2009,
29928,SC,7.095,59500,02/16/2010,
29620,SC,7.2,,11-1-2008,
29009,SC,8,,5-2-2008,
29576,SC,10,,7-1-2009,
29407,SC,11,,3-1-2008,
29614,SC,11.232,,6-3-2008,
29614,SC,12,,1-8-2008,
29945,SC,13.8,,2-1-2009,
29631,SC,15,,3-1-2006,
29671,SC,15.6,,9-1-2008,
29572,SC,16,,10-1-2006,
29201,SC,25.6,250000,8-10-2007,
29205,SC,27,,12-1-2007,
29733,SC,33.7,,11-7-2009,
29601,SC,100,,12-1-2007,
