Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=SD
57003,SD,0.87,4350.0,11/19/2011,
57005,SD,1.175,8500.0,12/22/2011,
57003,SD,1.44,,10-9-2013,
57069,SD,2.12,,5-1-2014,
57790,SD,3.15,,11/19/2010,
57030,SD,4.0,32600.0,8-8-2013,
57005,SD,4.2,30000.0,09/29/2010,
57349,SD,4.73,23789.0,06/15/2010,
57433,SD,10.08,,3-9-2011,
57030,SD,10.34,49000.0,12/30/2011,
57017,SD,11.0,44000.0,4-11-2014,
57276,SD,11.82,,2-4-2014,
57273,SD,14.4,,2-10-2011,
57273,SD,20.4,,3-9-2011,
57433,SD,25.92,,11-5-2010,
57703,SD,152.0,,11/19/2013,
