Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=6&minsize=5&state=CA
90027,CA,5.0,,06/27/2012,
90068,CA,5.0,,10/13/1997,
91207,CA,5.0,,10/13/1997,
93552,CA,5.0,,5-5-2014,
90278,CA,5.0,,5-6-2013,
91790,CA,5.0,,3-10-2014,
93536,CA,5.0,,1-6-2014,
94301,CA,5.0,21000.0,10/13/1997,
92307,CA,5.0,0.0,12-10-2013,
95603,CA,5.0,42769.7,12-12-2006,
95404,CA,5.0,43780.0,9-8-2006,
95993,CA,5.0,41750.0,11/30/2006,
92308,CA,5.0,26415.21,02/20/2014,
92308,CA,5.0,24589.0,08/27/2013,
92311,CA,5.0,24500.0,1-9-2014,
92311,CA,5.0,24500.0,01/16/2014,
92311,CA,5.0,0.0,12-11-2013,
92311,CA,5.0,24500.0,01/29/2014,
95333,CA,5.0,40581.0,11-2-2006,
95370,CA,5.0,45782.0,04/27/2007,
95073,CA,5.0,35591.12,01/16/2007,
94025,CA,5.0,40798.38,04/13/2007,
95490,CA,5.0,43200.0,7-2-2007,
92316,CA,5.0,46875.0,1-12-2012,
92335,CA,5.0,24500.0,01/29/2014,
92336,CA,5.0,21538.8,11-8-2013,
92336,CA,5.0,37500.0,12/28/2011,
92336,CA,5.0,23100.0,11-6-2013,
92336,CA,5.0,24480.0,04/22/2013,
92336,CA,5.0,19300.0,12-12-2013,
92336,CA,5.0,37500.0,10/24/2011,
92336,CA,5.0,24500.0,1-10-2014,
92336,CA,5.0,24500.0,1-7-2014,
92336,CA,5.0,23045.0,02/18/2014,
92337,CA,5.0,30000.0,10-9-2013,
94598,CA,5.0,35275.0,7-10-2007,
92264,CA,5.0,25750.0,4-10-2013,
92277,CA,5.0,21625.0,02/13/2014,
92284,CA,5.0,27900.0,2-11-2014,
92284,CA,5.0,24150.0,01/30/2014,
92284,CA,5.0,22111.25,11-8-2013,
92301,CA,5.0,24500.0,12/18/2013,
92307,CA,5.0,32150.0,11-6-2012,
92307,CA,5.0,23750.0,12-10-2013,
92307,CA,5.0,29890.0,11-4-2013,
92307,CA,5.0,30000.0,1-11-2014,
90048,CA,5.0,34395.08,11/15/2005,
95722,CA,5.0,48706.0,08/16/2006,
95436,CA,5.0,43191.75,08/16/2006,
94507,CA,5.0,42800.0,06/22/2007,
95765,CA,5.0,43797.8,08/16/2006,
91764,CA,5.0,25999.0,01/21/2014,
95608,CA,5.0,23933.0,01/24/2014,
91765,CA,5.0,24500.0,01/29/2014,
91765,CA,5.0,22945.0,11-12-2013,
91765,CA,5.0,13500.0,1-10-2014,
91765,CA,5.0,24316.0,10/14/2013,
91766,CA,5.0,24213.65,6-3-2013,
91767,CA,5.0,24500.0,01/13/2014,
91768,CA,5.0,10307.0,02/19/2014,
91768,CA,5.0,21580.32,1-7-2014,
91773,CA,5.0,25414.03,9-11-2013,
91773,CA,5.0,21070.0,9-3-2013,
91775,CA,5.0,21805.0,02/22/2013,
91775,CA,5.0,22500.0,01/31/2014,
91776,CA,5.0,20070.0,05/21/2013,
91786,CA,5.0,33457.2,6-7-2013,
91786,CA,5.0,31963.16,05/24/2013,
91789,CA,5.0,24500.0,01/28/2014,
91789,CA,5.0,30000.0,11-12-2010,
91789,CA,5.0,30000.0,10-9-2013,
91789,CA,5.0,29000.0,8-9-2010,
91791,CA,5.0,24500.0,01/30/2014,
91006,CA,5.0,36500.0,11-12-2013,
91711,CA,5.0,39520.0,10/16/2013,
92211,CA,5.0,24500.0,01/13/2014,
91320,CA,5.0,0.0,10/22/2013,
92211,CA,5.0,18750.0,5-6-2013,
91739,CA,5.0,0.0,11/27/2013,
91739,CA,5.0,21000.0,12-4-2013,
92223,CA,5.0,24500.0,01/13/2014,
92223,CA,5.0,21650.0,11/13/2013,
92223,CA,5.0,21967.0,1-9-2014,
92223,CA,5.0,26785.0,01/14/2013,
