Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=CT
6824,CT,0.49,6036.0,07/22/2014,
6483,CT,0.7,7522.5,5-6-2011,
6483,CT,0.7,7522.5,5-6-2011,
6422,CT,0.84,6408.0,12-12-2008,
6422,CT,0.84,6408.0,12-12-2008,
6497,CT,0.86,6849.9,05/16/2008,
6401,CT,0.94,7437.5,03/23/2012,
6401,CT,0.94,7437.5,03/23/2012,
6256,CT,0.99,10676.3,12/31/2008,
6256,CT,0.99,10676.3,12/31/2008,
6238,CT,1.0,22791.45,12/17/2010,
6247,CT,1.0,24816.0,09/30/2012,
6238,CT,1.0,22791.45,12/17/2010,
6247,CT,1.0,24816.0,09/30/2012,
6902,CT,1.02,10001.0,08/30/2006,
6902,CT,1.02,10001.0,08/30/2006,
6043,CT,1.08,17897.0,02/17/2011,
6043,CT,1.08,17897.0,02/17/2011,
6855,CT,1.11,7770.0,04/28/2011,
6855,CT,1.11,7770.0,04/28/2011,
6457,CT,1.14,9516.0,08/25/2005,
6457,CT,1.14,9516.0,08/25/2005,
6489,CT,1.2,3550.0,03/13/2013,
6489,CT,1.2,3550.0,03/13/2013,
6777,CT,1.22,8600.0,1-6-2012,
6777,CT,1.22,8600.0,1-6-2012,
6777,CT,1.224,8600.0,1-6-2012,
6778,CT,1.23,10245.9,09/27/2012,
6778,CT,1.23,10245.9,09/27/2012,
6120,CT,1.25,15942.0,7-8-2005,
6120,CT,1.25,15942.0,7-8-2005,
6525,CT,1.33,28180.0,9-9-2010,
6525,CT,1.33,28180.0,9-9-2010,
6226,CT,1.38,7341.0,6-10-2014,
6010,CT,1.38,0.0,7-8-2011,
6010,CT,1.38,0.0,7-8-2011,
6424,CT,1.41,9998.0,2-6-2014,
6424,CT,1.41,9998.0,2-6-2014,
6279,CT,1.44,10410.0,03/21/2013,
6268,CT,1.44,14380.0,12/31/2008,
6066,CT,1.44,14400.0,4-2-2009,
6279,CT,1.44,10410.0,03/21/2013,
6268,CT,1.44,14380.0,12/31/2008,
6066,CT,1.44,14400.0,4-2-2009,
6471,CT,1.52,12159.97,08/29/2005,
