Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=IA
52162,IA,1.0,7000.0,1-3-2011,
52172,IA,1.0,4000.0,7-9-2012,
52247,IA,1.8,10475.0,05/27/2010,
52172,IA,2.0,12000.0,9-8-2010,
52404,IA,2.11,16000.0,8-8-2012,
52205,IA,2.2,32000,08/23/2007,
50112,IA,2.5,,11/27/2013,
52001,IA,2.5,,6-1-2010,
52404,IA,3.0,12000.0,09/27/2013,
52335,IA,3.0,,10/31/2013,
52101,IA,3.0,21000.0,06/15/2012,
52353,IA,3.5,,5-3-2013,
52351,IA,3.5,,10/14/2013,
50216,IA,3.6,,4-10-2013,
52353,IA,3.6,,12/20/2013,
52353,IA,3.6,,3-1-2014,
52404,IA,4.0,,8-4-2014,
52404,IA,4.0,17000.0,09/27/2013,
52317,IA,4.0,,11/19/2013,
52404,IA,4.0,,02/14/2014,
52001,IA,4.0,,03/14/2011,
52317,IA,4.2,,04/18/2013,
50046,IA,4.8,,4-1-2013,
52353,IA,4.8,,07/16/2013,
52247,IA,4.8,,12/27/2013,
52404,IA,4.8,18000.0,04/16/2012,
50220,IA,5.0,,6-1-2013,
50046,IA,5.0,,7-1-2013,
52353,IA,5.0,,08/31/2013,
50112,IA,5.0,,11/25/2013,
52353,IA,5.4,,10/22/2013,
52333,IA,5.5,19000.0,09/23/2013,
52340,IA,5.5,,12-1-2013,
50043,IA,5.6,64800,06/29/2009,
52359,IA,6.0,,12/26/2013,
52353,IA,6.0,,12-3-2013,
52247,IA,6.0,,02/27/2014,
52305,IA,6.0,30000.0,07/15/2009,
52209,IA,6,25000,12/31/2012,
50010,IA,6.3,,10/18/2013,
52305,IA,6.5,23000.0,2-6-2014,
52353,IA,6.5,,12-3-2013,
52305,IA,6.5,24700.0,03/17/2014,
52205,IA,6.5,20000,02/18/2012,
52404,IA,6.5,28000,8-9-2012,
52353,IA,6.6,,12/31/1969,
52402,IA,7.0,26600.0,11/27/2013,
52353,IA,7.0,,08/31/2013,
52214,IA,7.0,24000.0,9-10-2014,
50112,IA,7.2,,12/16/2013,
52353,IA,7.2,,2-1-2014,
50112,IA,7.2,,02/17/2014,
52501,IA,7.2,,02/19/2014,
52302,IA,7.5,37500.0,08/24/2009,
52003,IA,7.9,44600.0,05/16/2011,
50112,IA,8.0,,02/16/2014,
52531,IA,8.1,,4-1-2013,
52358,IA,8.1,,08/15/2013,
50468,IA,8.4,,8-7-2013,
52353,IA,8.4,,02/26/2014,
52317,IA,8.5,28000.0,08/31/2014,
52043,IA,9.0,,08/16/2013,
52353,IA,9.0,,2-1-2014,
52353,IA,9.0,,02/15/2014,
52353,IA,9.3,,12-3-2013,
52353,IA,9.6,,2-4-2014,
52404,IA,10.0,40000.0,08/21/2014,
52001,IA,10.0,65000.0,8-1-2011,
50112,IA,10.8,,5-1-2013,
52353,IA,10.8,,12/20/2013,
52621,IA,10.8,,11/25/2013,
50208,IA,10.8,,02/22/2014,
50548,IA,11.0,40000.0,10/17/2012,
50548,IA,11.0,,10/20/2012,
52353,IA,11.0,,8-10-2013,
52302,IA,12.0,41000.0,10/15/2013,
52240,IA,12.0,41600.0,10/25/2013,
52205,IA,12.0,43154.0,12-1-2013,
52353,IA,12.0,,3-1-2013,
52353,IA,12.0,,6-11-2013,
52353,IA,12.0,,02/25/2014,
52353,IA,12.0,,3-1-2014,
52359,IA,12.0,,02/18/2014,
52356,IA,13.5,,6-1-2013,
52353,IA,13.8,,07/16/2013,
52101,IA,14.5,,07/17/2014,
52310,IA,15.0,52262.0,12-1-2013,
52353,IA,15.0,,3-1-2013,
52353,IA,15.0,,3-1-2013,
52335,IA,15.0,,10/31/2013,
52353,IA,15.0,,7-10-2013,
52353,IA,15.0,,10/14/2013,
52501,IA,15.0,,3-1-2014,
52214,IA,15.0,49000.0,10/22/2014,
50158,IA,15.8,,10/27/2008,
52353,IA,16.2,,07/16/2013,
52353,IA,16.2,,11/20/2013,
52353,IA,16.25,53000.0,8-3-2014,
52353,IA,16.5,,11/14/2013,
52353,IA,16.6,,12/20/2013,
52501,IA,16.8,,3-1-2014,
52353,IA,17.8,,6-2-2013,
52359,IA,18.0,,2-10-2014,
52353,IA,18.75,61000.0,8-5-2014,
52248,IA,19.2,,02/24/2014,
52353,IA,19.8,,11/20/2013,
52353,IA,19.8,,02/28/2014,
50401,IA,20.0,,05/24/2013,
50124,IA,20.0,,11/20/2013,
50208,IA,20.4,,02/23/2014,
52353,IA,21.0,,01/20/2014,
52356,IA,21.0,,01/20/2014,
52248,IA,21.0,,01/20/2014,
52356,IA,21.0,,01/20/2014,
52356,IA,21.0,,01/20/2014,
52353,IA,21.0,,01/20/2014,
52353,IA,21.0,,01/20/2014,
52353,IA,21.0,,01/20/2014,
52201,IA,21.0,,2-1-2014,
52101,IA,21.5,,8-9-2012,
52359,IA,22.4,,2-10-2014,
52101,IA,22.44,,5-12-2013,
52353,IA,24.0,,11/20/2013,
52353,IA,24.0,,01/20/2014,
52353,IA,24.0,,02/20/2014,
50112,IA,25.0,,12/15/2013,
52001,IA,25.0,132500.0,07/15/2011,
52001,IA,25.0,132500.0,11/25/2011,
52002,IA,25.0,130000.0,12-7-2011,
50002,IA,26.0,,9-1-2013,
52353,IA,27.0,,11/15/2013,
52248,IA,27.6,,02/25/2014,
52314,IA,30.0,116900.0,01/17/2014,
52353,IA,30.0,,02/21/2014,
52335,IA,31.0,,10/31/2013,
52353,IA,33.0,,3-1-2013,
52353,IA,33.0,,2-1-2014,
52356,IA,36.45,,12-1-2013,
52621,IA,40.0,,9-1-2013,
52621,IA,40.0,,11/25/2013,
50319,IA,45.54,274000.0,06/30/2011,
52353,IA,60.0,,07/30/2013,
52068,IA,150.0,670000.0,12-2-2011,
52001,IA,200.0,1020000.0,11/18/2011,
50614,IA,206.4,2522625.0,08/18/2010,
52101,IA,281.25,1200000.0,10/21/2012,
52247,IA,800.0,2200000.0,07/31/2014,
