Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=KS
66061,KS,1.05,10413,03/15/2010,
66047,KS,1.2,14000.0,9-3-2007,
66212,KS,1.2,,8-8-2008,
67054,KS,1.5,,06/18/2010,
66502,KS,2.0,,12/28/2009,
67550,KS,2.3,11800.0,04/20/2012,
66040,KS,2.4,,9-3-2013,
67585,KS,2.9,,01/27/2013,
66046,KS,4.2,,12-6-2010,
66850,KS,5.52,,04/21/2010,
66211,KS,5.52,,4-1-2010,
66044,KS,5.72,,7-1-2011,
66509,KS,6.11,,06/13/2011,
66215,KS,6.75,52998.0,12/28/2012,
67147,KS,9.6,,6-6-2012,
66210,KS,9.68,,06/20/2012,
66062,KS,10.2,,8-8-2010,
67839,KS,10.5,47250.0,10-4-2012,
67501,KS,12.0,,5-11-2013,
66006,KS,12.0,,09/26/2010,
66006,KS,17.94,,12-7-2010,
66509,KS,19.32,,6-12-2010,
67212,KS,26.8,,9-10-2010,
67701,KS,50.0,,10/20/2011,
66044,KS,57.12,,7-2-2012,
66227,KS,118.44,,12/16/2011,
66442,KS,510.0,,05/14/2013,
66202,KS,730.17,,5-3-2015,
