Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=NJ
8620,NJ,0.15,,8-6-2007,
8322,NJ,0.2,,12-3-2007,
8230,NJ,0.26,4219.0,1-11-2002,
8343,NJ,0.32,,08/19/2008,
7712,NJ,0.32,,10-11-2007,
8318,NJ,0.43,0.0,8-11-2010,
8318,NJ,0.43,2875.0,7-8-2010,
8690,NJ,0.45,,1-10-2012,
7750,NJ,0.535,,3-6-2008,
8205,NJ,0.585,0.0,12/30/2011,
8204,NJ,0.585,,12/30/2011,
8009,NJ,0.6,6000,12/18/2009,
7840,NJ,0.66,0.0,10/20/2011,
7820,NJ,0.66,,10/20/2011,
8203,NJ,0.68,5440.0,02/24/2011,
8009,NJ,0.69,0.0,12-5-2013,
8343,NJ,0.7,0.0,06/30/2009,
8332,NJ,0.705,0.0,02/25/2013,
7871,NJ,0.8,6600.0,02/17/2010,
8551,NJ,0.8,6800.0,10/17/2004,
7456,NJ,0.8,6271.0,07/13/2006,
7940,NJ,0.84,6706.5,9-3-2009,
8251,NJ,0.89,8542.1,06/17/2002,
8512,NJ,0.9,0.0,04/26/2010,
8054,NJ,0.9,6885.0,02/23/2010,
8234,NJ,0.9,,07/14/2011,
8753,NJ,0.92,0.0,07/15/2013,
8857,NJ,0.92,,09/21/2011,
8204,NJ,0.96,0.0,7-3-2008,
8087,NJ,0.96,8097.0,12/27/2005,
7663,NJ,0.98,0.0,04/24/2013,
8215,NJ,0.98,7774.5,07/24/2002,
8002,NJ,0.99,8435.0,10/17/2002,
8527,NJ,1.0,3250.0,05/13/2013,
7067,NJ,1.0,5735.0,10/22/2013,
7094,NJ,1,,11/19/2009,
8360,NJ,1,,2-5-2010,
8527,NJ,1.0,8000.0,09/28/2005,
8558,NJ,1,,12-3-2009,
8502,NJ,1,,11/20/2009,
7006,NJ,1,,12/18/2009,
7512,NJ,1.05,0.0,2-1-2011,
8077,NJ,1.05,0.0,08/23/2012,
7034,NJ,1.075,,08/24/2011,
8096,NJ,1.11,0.0,03/29/2013,
8310,NJ,1.11,0.0,11/21/2012,
8865,NJ,1.11,0.0,9-10-2012,
8060,NJ,1.11,0.0,12/26/2012,
7882,NJ,1.116,8179.0,09/21/2006,
7086,NJ,1.14,8721.0,04/21/2005,
8691,NJ,1.15,0.0,02/23/2012,
8202,NJ,1.156,9435.0,07/17/2008,
7052,NJ,1.175,0.0,11-12-2013,
7410,NJ,1.175,0.0,4-9-2013,
7756,NJ,1.19,10591.0,3-2-2006,
7418,NJ,1.19,9122.35,05/20/2009,
7730,NJ,1.2,7980.0,04/26/2010,
8022,NJ,1.2,,07/17/2007,
7456,NJ,1.2,14634.0,12/23/2005,
8330,NJ,1.225,10000.0,05/17/2011,
8080,NJ,1.23,,09/15/2011,
8406,NJ,1.25,0.0,05/30/2008,
7050,NJ,1.25,0.0,12/18/2012,
8098,NJ,1.26,0.0,3-9-2012,
8226,NJ,1.26,9450.0,11/16/2009,
8344,NJ,1.26,9576.0,4-7-2010,
8204,NJ,1.26,,05/31/2011,
8230,NJ,1.26,,08/22/2011,
8857,NJ,1.28,10540,4-6-2006,
8330,NJ,1.29,8740.0,05/28/2008,
8008,NJ,1.29,10578.0,10-7-2008,
8302,NJ,1.29,0.0,11-2-2010,
7882,NJ,1.29,15587.5,10-11-2007,
8302,NJ,1.29,6372.6,08/25/2010,
8080,NJ,1.295,18900.0,01/20/2005,
8872,NJ,1.32,,05/13/2011,
7828,NJ,1.336,11022,04/21/2004,
8043,NJ,1.336,10638.0,11-5-2004,
7834,NJ,1.35,8883.0,08/25/2011,
8330,NJ,1.35,6450.0,08/25/2009,
8535,NJ,1.35,7445.0,5-11-2003,
8752,NJ,1.36,10085.78,03/16/2006,
8009,NJ,1.38,0.0,12-5-2013,
8514,NJ,1.38,,1-5-2012,
8833,NJ,1.38,,12-8-2011,
8087,NJ,1.4,11500.0,09/29/2009,
8822,NJ,1.4,0.0,3-5-2013,
7438,NJ,1.4,14612.5,4-11-2008,
8106,NJ,1.41,0.0,7-8-2011,
7006,NJ,1.41,0.0,07/25/2013,
7109,NJ,1.41,0.0,4-12-2013,
8108,NJ,1.41,0.0,05/15/2012,
7856,NJ,1.41,0.0,05/23/2012,
8844,NJ,1.41,0.0,06/25/2012,
8243,NJ,1.41,0.0,01/18/2012,
7042,NJ,1.43,13860.0,07/16/2003,
7083,NJ,1.44,0.0,11-12-2013,
8829,NJ,1.47,0.0,07/23/2012,
7059,NJ,1.48,0.0,8-9-2011,
8080,NJ,1.48,,03/28/2012,
8530,NJ,1.49,11775.0,12/17/2001,
8302,NJ,1.5,0.0,09/17/2012,
8527,NJ,1.5,22013.0,8-1-2002,
8060,NJ,1.53,12240.0,4-9-2010,
8007,NJ,1.56,,10/18/2011,
8062,NJ,1.575,0.0,10-12-2010,
8731,NJ,1.575,0.0,7-3-2012,
8062,NJ,1.575,8190.0,7-8-2010,
8721,NJ,1.575,,7-3-2012,
8742,NJ,1.6,12000.0,06/22/2009,
8822,NJ,1.6,13600.0,1-5-2005,
8742,NJ,1.6,13200.0,06/20/2006,
7663,NJ,1.645,0.0,7-12-2013,
7203,NJ,1.645,0.0,07/18/2013,
7760,NJ,1.665,13320.0,9-11-2003,
8087,NJ,1.665,10822.5,1-7-2005,
8075,NJ,1.665,0.0,12-8-2011,
7726,NJ,1.68,0.0,9-12-2013,
7662,NJ,1.68,0.0,9-4-2013,
7083,NJ,1.68,0.0,10-3-2013,
