Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=TN
37401,TN,0.525,4000,1-1-1999,
37401,TN,0.525,4000,02/24/1999,
38366,TN,0.54,7000,11/23/2009,
37362,TN,0.55,4000,1-1-1999,
37362,TN,0.55,4000,02/24/1999,
37401,TN,0.56,4750,1-1-2006,
37397,TN,0.65,4000,1-1-2004,
37367,TN,0.72,,05/17/2011,
37334,TN,0.8,6000,1-1-2001,
37362,TN,0.8,6000,02/24/1999,
37362,TN,0.8,6000,1-1-1999,
37723,TN,1.0,,05/17/2011,
37723,TN,1.0,,2-2-2008,
37327,TN,1,9000,1-1-2000,
37367,TN,1,9500,1-1-2007,
37601,TN,1,9500,1-1-2006,
37043,TN,1.0,,9-3-2010,
37098,TN,1.02,,05/17/2011,
37098,TN,1.02,,12-12-2009,
37415,TN,1.100.000.024,,1-4-2010,
37209,TN,1.149.999.976,,7-1-2010,
37205,TN,1.149.999.976,,7-7-2010,
37923,TN,1.2,11400,1-1-2007,
37011,TN,1.25,11000,1-1-2006,
37601,TN,1.25,11875,1-1-2007,
37923,TN,1.32,10000,7-7-2008,
37830,TN,1.32,10000,7-9-2009,
37204,TN,1.35,,05/17/2011,
37204,TN,1.35,,1-7-2010,
37205,TN,1.4,13300,1-1-2007,
37201,TN,1.4,13300,1-1-2007,
38454,TN,1.4,13300,1-1-2007,
37342,TN,1.6,,05/17/2011,
38571,TN,1.645,8534.57,12/27/2010,
37129,TN,1.799.999.952,,10-2-2009,
37846,TN,1.799.999.952,,7-1-2010,
37204,TN,1.8,,05/17/2011,
37129,TN,1.8,,05/17/2011,
37040,TN,1.8,,05/17/2011,
37204,TN,1.8,,6-1-2008,
37129,TN,1.8,,06/24/2009,
37040,TN,1.8,,3-2-2011,
37075,TN,1.84,,05/17/2011,
38571,TN,1.92,,05/17/2011,
38571,TN,1.92,,09/29/2010,
38555,TN,1.92,,05/22/2012,
37342,TN,1.94,,12-9-2009,
37015,TN,2.0,,05/17/2011,
38476,TN,2.0,,05/17/2011,
37015,TN,2.0,,12-1-2007,
38476,TN,2.0,,2-2-2009,
37771,TN,2,16000,1-1-2002,
37642,TN,2,16000,1-1-2005,
37353,TN,2.0,,10/21/2009,
38469,TN,2.0,,12/15/2009,
37743,TN,2.0,,07/23/2010,
37327,TN,2,19000,1-1-2006,
37040,TN,2,16000,1-1-2005,
37069,TN,2,19000,1-1-2007,
38476,TN,2,19000,1-1-2007,
37321,TN,2,16000,1-1-2002,
37401,TN,2,18000,1-1-2007,
37771,TN,2,15000,1-1-2003,
37015,TN,2,19000,1-1-2007,
37205,TN,2.02,,10/24/2011,
37064,TN,2.03,,05/17/2011,
37064,TN,2.03,,10/31/2008,
37064,TN,2.04,,05/17/2011,
37064,TN,2.04,,11-1-2009,
37027,TN,2.069.999.933,,12/15/2009,
37064,TN,2.069.999.933,,4-9-2010,
37167,TN,2.099.999.905,,03/30/2010,
37643,TN,2.1,,08/14/2012,
37040,TN,2.1,25000,09/15/2009,
37771,TN,2.1,15000,1-1-2004,
37087,TN,2.150.000.095,,08/25/2010,
37329,TN,2.200.000.048,,08/31/2010,
37826,TN,2.200.000.048,,08/31/2010,
37914,TN,2.200.000.048,,09/16/2010,
37916,TN,2.23,,05/17/2011,
37743,TN,2.25,,05/17/2011,
37174,TN,2.25,,04/22/2010,
37174,TN,2.25,,04/22/2010,
37075,TN,2.299.999.952,,06/22/2010,
37075,TN,2.3,,06/22/2010,
37604,TN,2.38,,05/17/2011,
37604,TN,2.38,,6-1-2011,
37871,TN,2.380.000.114,,7-8-2010,
37149,TN,2.4,,02/24/2012,
37096,TN,2.4,,05/24/2012,
37086,TN,2.4,,07/17/2012,
37129,TN,2.4,,07/27/2012,
37205,TN,2.4,,08/28/2012,
37862,TN,2.400.000.095,,06/28/2010,
37371,TN,2.400.000.095,,08/31/2010,
37923,TN,2.496,18720,2-6-2008,
37882,TN,2.496.000.051,,09/21/2009,
37772,TN,2.5,,04/28/2010,
38351,TN,2.5,18000,4-7-2009,
37205,TN,2.56,,05/17/2011,
37205,TN,2.56,,10-12-2007,
37201,TN,2.56,24320,1-1-2007,
37604,TN,2.599.999.905,,02/17/2010,
37343,TN,2.599.999.905,,3-2-2010,
38542,TN,2.599.999.905,,04/30/2010,
38572,TN,2.6,,05/17/2011,
38572,TN,2.6,,6-1-2008,
38133,TN,2.64,,10-11-2012,
37375,TN,2.799.999.952,,10/30/2009,
37067,TN,2.82,,05/17/2011,
37044,TN,2.82,32800.0,07/16/2010,
37067,TN,2.82,,08/16/2010,
37013,TN,2.88,,05/17/2011,
37013,TN,2.88,,06/16/2006,
37604,TN,2.88,,3-5-2012,
37067,TN,2.880.000.114,,08/24/2010,
38401,TN,2.94,,05/17/2011,
37604,TN,2.94,,05/17/2011,
37206,TN,2.94,,05/17/2011,
