Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=UT
84738,UT,0.22,1843.1,12-1-2007,
84782,UT,0.34,3579.32,03/26/2008,
84065,UT,0.36,1967.51,12-1-2000,
84525,UT,0.555,5342.21,12-1-2010,
84532,UT,0.64,3750.0,5-1-2006,
84096,UT,0.735,3454.0,01/24/2014,
84096,UT,0.735,3454.0,01/24/2014,
84096,UT,0.735,3454.0,01/24/2014,
84096,UT,0.735,3454.0,01/24/2014,
84128,UT,0.75,3750.0,03/25/2013,
84010,UT,0.75,1937.02,5-1-2007,
84118,UT,0.75,4206.0,01/24/2014,
84118,UT,0.75,4206.0,01/24/2014,
84096,UT,0.75,3454.0,01/24/2014,
84096,UT,0.75,3454.0,01/24/2014,
84096,UT,0.75,3454.0,01/24/2014,
84096,UT,0.75,3454.0,01/24/2014,
84096,UT,0.75,1727.0,2-3-2014,
84096,UT,0.75,3454.0,02/13/2014,
84096,UT,0.75,3454.0,01/24/2014,
84096,UT,0.75,3454.0,01/24/2014,
84096,UT,0.75,3454.0,2-3-2014,
84096,UT,0.75,3454.0,2-3-2014,
84096,UT,0.75,3454.0,2-3-2014,
84096,UT,0.75,3454.0,2-3-2014,
84096,UT,0.75,3454.0,01/24/2014,
84096,UT,0.765,3454.0,02/13/2014,
84111,UT,0.925,8809.21,08/30/2010,
84106,UT,0.96,7930.7,04/22/2004,
84737,UT,0.99,10735.0,06/25/2007,
84003,UT,1.0,9584.81,8-3-2009,
84044,UT,1.032,82500.0,1-1-2010,
84782,UT,1.04,10370.0,09/23/2008,
84032,UT,1.04,8694.0,12/30/2006,
84123,UT,1.05,5602.79,11-3-2010,
84121,UT,1.2,8901.12,12/27/2007,
84790,UT,1.2,9660.65,12/30/2006,
84637,UT,1.2,7171.76,5-5-2006,
84637,UT,1.2,7171.76,11-1-2005,
84116,UT,1.25,7058.0,12-11-2013,
84783,UT,1.258,11300.0,08/26/2008,
84105,UT,1.35,9965.0,11/15/2010,
84332,UT,1.4,15005.81,12-1-2009,
84105,UT,1.4,12707.0,08/28/2007,
84720,UT,1.44,12158.82,10-8-2010,
84532,UT,1.44,13922.0,09/19/2008,
84532,UT,1.44,12065.0,12/18/2007,
84532,UT,1.44,12247.07,12/17/2007,
84532,UT,1.44,14400.0,12-10-2007,
84106,UT,1.44,12082.81,9-9-2002,
84097,UT,1.46,11394.64,10-1-2008,
84096,UT,1.47,3454.0,01/24/2014,
84078,UT,1.485,9396.79,12-11-2006,
84116,UT,1.5,8220.0,8-7-2013,
84106,UT,1.5,7125.0,09/16/2013,
84095,UT,1.5,7649.0,01/24/2014,
84095,UT,1.5,7649.0,01/24/2014,
84095,UT,1.5,7649.0,01/24/2014,
84096,UT,1.5,6095.0,02/13/2014,
84017,UT,1.52,15600.0,9-1-2010,
84095,UT,1.53,7649.0,01/24/2014,
84720,UT,1.56,15563.65,6-12-2006,
84060,UT,1.56,6787.0,08/15/2013,
84102,UT,15.662,15335.0,08/17/2011,
84105,UT,1.575,14046.56,12/28/2009,
84105,UT,1.61,11125.0,07/15/2010,
84117,UT,1.621.972,12985.0,8-4-2011,
84095,UT,1.64,14500.0,06/21/2010,
84095,UT,1.64,14500.0,03/18/2010,
84095,UT,1.64,14500.0,3-1-2010,
84095,UT,1.64,14500.0,11/15/2009,
84095,UT,1.64,14500.0,11/15/2009,
84074,UT,1.68,8450.0,01/28/2014,
84105,UT,1.7,13911.3,12/28/2006,
84105,UT,1.7,16711.3,12/28/2006,
84108,UT,1.72,17108.0,8-2-2010,
84106,UT,1.75,9187.5,11/18/2013,
84092,UT,1.75,12331.0,08/31/2010,
84105,UT,1.76,15661.37,11-1-2009,
84321,UT,1.8,13166.6,9-1-2010,
84095,UT,1.8,15250.0,9-1-2009,
84095,UT,1.84,14500.0,12-1-2010,
84095,UT,1.84,14500.0,10/15/2010,
84095,UT,1.84,14500.0,7-7-2010,
84095,UT,1.84,14500.0,7-7-2010,
84095,UT,1.84,14500.0,7-2-2010,
84095,UT,1.84,14500.0,7-1-2010,
84095,UT,1.84,14500.0,7-1-2010,
84341,UT,1.84,12709.0,6-1-2010,
84095,UT,1.84,14500.0,05/19/2010,
84532,UT,1.906,13827.5,09/13/2010,
84405,UT,1.96,20535.0,7-12-2004,
84095,UT,1.96,8860.0,01/24/2014,
84738,UT,1.98,20045.98,02/21/2008,
84767,UT,1.98,20484.19,12/27/2007,
84720,UT,1.98,18183.31,12/14/2007,
84737,UT,1.98,17092.3,10/24/2007,
84405,UT,19.836,9405.0,06/20/2011,
84081,UT,2.0,10500.0,10/25/2013,
84767,UT,2.0,,11/27/2009,
84767,UT,2.0,,11/27/2009,
84062,UT,2.0,6385.45,3-4-2010,
84341,UT,2.0,17261.52,09/17/2009,
84050,UT,2.0,20882.11,03/22/2009,
84095,UT,2.0,20000.0,7-8-2008,
84109,UT,2.0,21300.0,12/15/2007,
84111,UT,2.0,8466.64,12/29/2006,
84652,UT,2.0,15437.11,12-1-2006,
84095,UT,2.0,7149.02,01/28/2014,
84101,UT,2.0,7635.49,08/16/2013,
84095,UT,2.0,8860.0,01/24/2014,
84095,UT,2.0,8860.0,01/24/2014,
84111,UT,2.04,11205.0,6-6-2013,
84770,UT,2.04,20827.36,4-11-2008,
84779,UT,2.04,19278.98,03/28/2008,
84770,UT,2.04,18589.46,10/23/2007,
84790,UT,2.04,22209.13,4-1-2006,
84102,UT,2.04,9866.0,09/16/2013,
84049,UT,2.04,10213.0,08/15/2013,
84101,UT,2.04,10500.0,08/15/2013,
84070,UT,2.052,16344.0,12/22/2010,
84321,UT,2.07,14507.0,07/27/2010,
84321,UT,2.07,15000.0,07/27/2010,
84078,UT,2.08,11024.0,08/30/2013,
84109,UT,2.1,16575.6,10/15/2010,
84106,UT,2.1,17975.0,12/29/2009,
84124,UT,2.15,17328.09,12/20/2009,
84716,UT,2.15,14940.0,11-10-2009,
84790,UT,2.16,13001.14,04/28/2010,
84741,UT,2.16,17556.36,7-10-2009,
84108,UT,2.16,22500.0,12/30/2013,
84124,UT,2.2,17513.2,5-10-2005,
84075,UT,2.25,11250.0,05/31/2013,
84010,UT,2.25,13983.15,12/15/2010,
84047,UT,2.28,22800.0,10/25/2007,
84105,UT,2.295,11983.17,02/20/2014,
84341,UT,2.3,19966.57,7-1-2010,
84092,UT,23.028,16843.0,6-12-2011,
84078,UT,2.317.224,13602.93,07/25/2011,
84405,UT,233.016,15154.0,5-6-2011,
84108,UT,2.337,31110.0,7-8-2011,
84098,UT,2.342,21552.0,10/28/2007,
84121,UT,23.493,15538.0,9-8-2011,
