Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=VT
5655,VT,0.175,1372.69,11-10-2009,
5730,VT,0.4,8585,04/13/2009,
5344,VT,0.42,20900.0,05/15/2011,
5769,VT,0.64,6630,5-6-2009,
5769,VT,0.64,5825,03/16/2009,
5663,VT,0.66,7704,8-10-2006,
5401,VT,0.675,2040.0,08/16/2011,
5053,VT,0.72,12010,07/17/2008,
5682,VT,0.75,11045,03/14/2008,
5075,VT,0.76,0.0,07/14/2010,
5770,VT,0.84,8108.4,6-11-2004,
5655,VT,0.896,5040.6,12-9-2011,
5344,VT,0.92,7560,1-11-2007,
5047,VT,0.92,12065.91,04/27/2011,
5648,VT,0.96,,6-3-2002,
5047,VT,0.96,4091.88,12/19/2008,
5757,VT,0.96,6800,10-5-2007,
5053,VT,0.96,19467,04/20/2006,
5344,VT,1,14153.45,07/16/2009,
5055,VT,1,3000,08/25/2009,
5461,VT,1,14284,11/25/2009,
5359,VT,1,10411,10/21/2009,
5495,VT,1,10838.61,04/14/2009,
5031,VT,1,10189,02/17/2009,
5401,VT,1,13854,5-11-2009,
5478,VT,1,7485,08/17/2009,
5452,VT,1,11409,11/19/2009,
5735,VT,1.02,,12/27/2012,
5346,VT,1.02,6587.5,10/22/2004,
5602,VT,1.035,10084,1-11-2007,
5445,VT,1.05,5900.0,9-9-2010,
5655,VT,1.05,7145.0,11/18/2011,
5777,VT,1.05,11747.0,05/26/2011,
5770,VT,1.05,5996.0,03/17/2011,
5445,VT,1.075,8425.0,01/22/2010,
5491,VT,1.08,14861.95,8-6-2004,
5056,VT,1.1,19318,06/23/2009,
5301,VT,1.1,13131,09/21/2006,
5075,VT,1.14,11171.02,07/24/2008,
5089,VT,1.14,17677.05,12/19/2008,
5037,VT,1.15,5824.22,10/18/2010,
5701,VT,1.15,10044.8,5-3-2011,
5602,VT,1.17,4705.36,10-8-2004,
5077,VT,1.19,11396,05/16/2008,
5301,VT,1.19,9702,10-12-2007,
5201,VT,1.2,18150.0,08/23/2004,
5766,VT,1.2,11470,09/28/2006,
5401,VT,1.2,10170.2,02/13/2004,
5151,VT,1.2,17820.0,06/28/2010,
5070,VT,1.2,9976.7,1-8-2010,
5676,VT,1.248,12447,1-11-2007,
5445,VT,1.26,14400,10-12-2007,
5652,VT,1.26,10017.22,01/25/2008,
5664,VT,1.26,9622.0,10-12-2011,
5142,VT,1.265,10834,2-8-2007,
5443,VT,1.3,10525,5-7-2009,
5735,VT,1.32,11000,7-12-2007,
5494,VT,1.32,17090,06/26/2008,
5363,VT,1.32,15523.9,4-8-2005,
5753,VT,1.32,17321,3-1-2007,
5443,VT,1.344,13054.33,09/19/2010,
5701,VT,1.36,12420.21,07/24/2008,
5760,VT,1.36,14843,07/17/2008,
5001,VT,1.374,15027.81,08/17/2010,
5655,VT,1.38,4977.75,01/20/2010,
5822,VT,1.38,10230.0,05/19/2011,
5403,VT,1.4,13842,07/25/2007,
5733,VT,1.4,16614,8-4-2009,
5470,VT,1.4,5000.0,10-8-2012,
5405,VT,1.4,9800.0,06/25/2012,
5358,VT,1.41,9522.0,1-11-2012,
5767,VT,1.41,,12/15/2011,
5474,VT,1.41,11276.0,8-4-2011,
5701,VT,1.435,12857.75,12-9-2010,
5401,VT,1.44,12428,7-2-2004,
5462,VT,1.44,15200,09/13/2007,
5359,VT,1.44,13163,2-8-2008,
5773,VT,1.44,16265.5,01/17/2008,
5143,VT,1.44,9414.75,02/16/2007,
5827,VT,1.44,11646.42,09/17/2004,
5871,VT,1.44,13493,3-6-2008,
5833,VT,1.44,12649.66,7-3-2008,
5753,VT,1.44,12059,05/13/2005,
5764,VT,1.44,13291,9-5-2007,
5065,VT,1.44,21637,2-8-2008,
5065,VT,1.44,21637,02/20/2008,
5301,VT,1.44,8580.0,9-12-2011,
5760,VT,1.47,6982.5,7-10-2012,
5346,VT,1.47,7306.0,10-11-2012,
5152,VT,1.48,19980.72,08/13/2004,
5820,VT,1.48,10956.12,08/27/2011,
5250,VT,1.5,13926.5,2-12-2009,
5651,VT,1.5,12624.5,05/28/2004,
5068,VT,1.5,15960,3-9-2009,
5819,VT,1.5,17811.5,3-9-2009,
5143,VT,1.5,15000,03/28/2009,
5048,VT,1.5,11756,02/27/2006,
5733,VT,1.5,12069,9-11-2009,
5492,VT,1.5,11300.0,11/25/2011,
5701,VT,1.52,11392.5,08/21/2008,
5602,VT,1.52,14941.54,10-5-2007,
5156,VT,1.52,22500.55,09/26/2008,
5070,VT,1.52,22916.54,12/19/2008,
5602,VT,1.52,16229.47,05/31/2007,
5739,VT,1.52,0.0,11/16/2010,
5733,VT,1.53,7300.0,11/19/2012,
5070,VT,1.54,9132.4,05/28/2004,
5346,VT,1.56,9240.0,05/26/2011,
5352,VT,1.6,10287.45,12/16/2000,
5446,VT,1.6,34308,2-11-2009,
5458,VT,1.6,9750,02/27/2009,
5676,VT,1.6,15964.74,8-8-2008,
5405,VT,1.6,14424,11-11-2009,
5491,VT,1.6,14901,5-7-2009,
5072,VT,1.6,16138.34,05/26/2009,
5043,VT,1.64,7433.14,12/18/2010,
5701,VT,1.64,9519.96,02/23/2011,
5075,VT,1.645,10352.0,01/19/2012,
5445,VT,1.65,15590,3-1-2006,
