Date,Population
1-1-1980,3.900.368
1-1-1981,3.918.531
1-1-1982,3.925.266
1-1-1983,3.934.102
1-1-1984,3.951.820
1-1-1985,3.972.523
1-1-1986,3.991.569
1-1-1987,4.015.264
1-1-1988,4.023.844
1-1-1989,4.030.222
1-1-1990,4.048.508
1-1-1991,4.091.025
1-1-1992,4.139.269
1-1-1993,4.193.114
1-1-1994,4.232.965
1-1-1995,4.262.731
1-1-1996,4.290.403
1-1-1997,4.320.281
1-1-1998,4.351.037
1-1-1999,4.369.862
1-1-2000,4.452.173
1-1-2001,4.467.634
1-1-2002,4.480.089
1-1-2003,4.503.491
1-1-2004,4.530.729
1-1-2005,4.569.805
1-1-2006,4.628.981
1-1-2007,4.672.840
1-1-2008,4.718.206
1-1-2009,4.757.938
1-1-2010,4.785.822
1-1-2011,4.801.695
1-1-2012,4.817.484
1-1-2013,4.833.996
1-1-2014,4.849.377
Date,Population,Size
