Date,Population
1-1-1980,2.288.738
1-1-1981,2.293.201
1-1-1982,2.294.257
1-1-1983,2.305.761
1-1-1984,2.319.768
1-1-1985,2.327.046
1-1-1986,2.331.984
1-1-1987,2.342.355
1-1-1988,2.342.656
1-1-1989,2.346.358
1-1-1990,2.354.343
1-1-1991,2.370.666
1-1-1992,2.394.098
1-1-1993,2.423.743
1-1-1994,2.450.605
1-1-1995,2.480.121
1-1-1996,2.504.858
1-1-1997,2.524.007
1-1-1998,2.538.202
1-1-1999,2.551.373
1-1-2000,2.678.588
1-1-2001,2.691.571
1-1-2002,2.705.927
1-1-2003,2.724.816
1-1-2004,2.749.686
1-1-2005,2.781.097
1-1-2006,2.821.761
1-1-2007,2.848.650
1-1-2008,2.874.554
1-1-2009,2.896.843
1-1-2010,2.922.297
1-1-2011,2.938.430
1-1-2012,2.949.300
1-1-2013,2.958.765
1-1-2014,2.966.369
Date,Population,Size
