Date,Population
1-1-1980,638.284
1-1-1981,636.893
1-1-1982,634.174
1-1-1983,632.433
1-1-1984,633.382
1-1-1985,634.549
1-1-1986,638.269
1-1-1987,636.930
1-1-1988,630.432
1-1-1989,624.168
1-1-1990,603.814
1-1-1991,593.239
1-1-1992,584.183
1-1-1993,576.358
1-1-1994,564.982
1-1-1995,551.273
1-1-1996,538.273
1-1-1997,528.752
1-1-1998,521.426
1-1-1999,519.000
1-1-2000,572.046
1-1-2001,574.504
1-1-2002,573.158
1-1-2003,568.502
1-1-2004,567.754
1-1-2005,567.136
1-1-2006,570.681
1-1-2007,574.404
1-1-2008,580.236
1-1-2009,592.228
1-1-2010,605.210
1-1-2011,620.427
1-1-2012,635.040
1-1-2013,649.111
1-1-2014,658.893
Date,Population,Size
