Date,Population
1-1-1980,2.914.018
1-1-1981,2.907.983
1-1-1982,2.888.189
1-1-1983,2.870.543
1-1-1984,2.858.618
1-1-1985,2.829.684
1-1-1986,2.791.970
1-1-1987,2.767.011
1-1-1988,2.768.388
1-1-1989,2.770.592
1-1-1990,2.779.769
1-1-1991,2.791.227
1-1-1992,2.806.923
1-1-1993,2.820.525
1-1-1994,2.829.422
1-1-1995,2.840.860
1-1-1996,2.848.473
1-1-1997,2.854.396
1-1-1998,2.861.025
1-1-1999,2.869.413
1-1-2000,2.929.067
1-1-2001,2.931.997
1-1-2002,2.934.234
1-1-2003,2.941.999
1-1-2004,2.953.635
1-1-2005,2.964.454
1-1-2006,2.982.644
1-1-2007,2.999.212
1-1-2008,3.016.734
1-1-2009,3.032.870
1-1-2010,3.050.295
1-1-2011,3.064.904
1-1-2012,3.075.935
1-1-2013,3.092.341
1-1-2014,3.107.126
Date,Population,Size
