Date,Population
1-1-1980,5.490.721
1-1-1981,5.480.435
1-1-1982,5.467.922
1-1-1983,5.450.395
1-1-1984,5.458.322
1-1-1985,5.459.211
1-1-1986,5.454.108
1-1-1987,5.473.012
1-1-1988,5.491.735
1-1-1989,5.523.693
1-1-1990,5.555.097
1-1-1991,5.602.062
1-1-1992,5.648.649
1-1-1993,5.701.965
1-1-1994,5.745.626
1-1-1995,5.791.819
1-1-1996,5.834.908
1-1-1997,5.872.370
1-1-1998,5.907.617
1-1-1999,5.942.901
1-1-2000,6.091.866
1-1-2001,6.127.760
1-1-2002,6.155.967
1-1-2003,6.196.638
1-1-2004,6.233.007
1-1-2005,6.278.616
1-1-2006,6.332.669
1-1-2007,6.379.599
1-1-2008,6.424.806
1-1-2009,6.459.325
1-1-2010,6.490.308
1-1-2011,6.516.560
1-1-2012,6.537.632
1-1-2013,6.570.713
1-1-2014,6.596.855
Date,Population,Size
