Date,Population
1-1-1980,2.369.039
1-1-1981,2.384.849
1-1-1982,2.401.202
1-1-1983,2.415.531
1-1-1984,2.424.086
1-1-1985,2.427.405
1-1-1986,2.432.619
1-1-1987,2.445.367
1-1-1988,2.461.996
1-1-1989,2.472.849
1-1-1990,2.480.683
1-1-1991,2.495.209
1-1-1992,2.526.042
1-1-1993,2.547.605
1-1-1994,2.569.118
1-1-1995,2.586.942
1-1-1996,2.598.266
1-1-1997,2.616.339
1-1-1998,2.638.667
1-1-1999,2.654.052
1-1-2000,2.693.681
1-1-2001,2.702.162
1-1-2002,2.713.535
1-1-2003,2.723.004
1-1-2004,2.734.373
1-1-2005,2.745.299
1-1-2006,2.762.931
1-1-2007,2.783.785
1-1-2008,2.808.076
1-1-2009,2.832.704
1-1-2010,2.858.949
1-1-2011,2.869.965
1-1-2012,2.885.966
1-1-2013,2.895.801
1-1-2014,2.904.021
Date,Population,Size
