Date,Population
1-1-1980,4.227.643
1-1-1981,4.261.905
1-1-1982,4.282.923
1-1-1983,4.313.327
1-1-1984,4.365.243
1-1-1985,4.413.071
1-1-1986,4.486.957
1-1-1987,4.565.557
1-1-1988,4.657.904
1-1-1989,4.727.301
1-1-1990,4.797.431
1-1-1991,4.856.176
1-1-1992,4.902.545
1-1-1993,4.942.504
1-1-1994,4.985.411
1-1-1995,5.023.650
1-1-1996,5.057.142
1-1-1997,5.092.914
1-1-1998,5.130.072
1-1-1999,5.171.634
1-1-2000,5.311.034
1-1-2001,5.374.691
1-1-2002,5.440.389
1-1-2003,5.496.269
1-1-2004,5.546.935
1-1-2005,5.592.379
1-1-2006,5.627.367
1-1-2007,5.653.408
1-1-2008,5.684.965
1-1-2009,5.730.388
1-1-2010,5.788.101
1-1-2011,5.843.833
1-1-2012,5.891.819
1-1-2013,5.938.737
1-1-2014,5.976.407
Date,Population,Size
