Date,Population
1-1-1980,4.921.966
1-1-1981,4.932.064
1-1-1982,4.929.451
1-1-1983,4.943.733
1-1-1984,4.975.278
1-1-1985,5.000.268
1-1-1986,5.023.068
1-1-1987,5.056.696
1-1-1988,5.081.736
1-1-1989,5.095.830
1-1-1990,5.126.370
1-1-1991,5.157.770
1-1-1992,5.193.686
1-1-1993,5.237.757
1-1-1994,5.281.206
1-1-1995,5.324.610
1-1-1996,5.367.888
1-1-1997,5.407.113
1-1-1998,5.437.562
1-1-1999,5.468.338
1-1-2000,5.607.285
1-1-2001,5.641.142
1-1-2002,5.674.825
1-1-2003,5.709.403
1-1-2004,5.747.741
1-1-2005,5.790.300
1-1-2006,5.842.704
1-1-2007,5.887.612
1-1-2008,5.923.916
1-1-2009,5.961.088
1-1-2010,5.996.085
1-1-2011,6.010.544
1-1-2012,6.025.281
1-1-2013,6.044.917
1-1-2014,6.063.589
Date,Population,Size
