Date,Population
1-1-1980,788.752
1-1-1981,795.328
1-1-1982,803.986
1-1-1983,814.031
1-1-1984,820.905
1-1-1985,822.320
1-1-1986,813.739
1-1-1987,805.063
1-1-1988,800.202
1-1-1989,799.636
1-1-1990,799.824
1-1-1991,807.837
1-1-1992,822.436
1-1-1993,839.876
1-1-1994,854.923
1-1-1995,868.522
1-1-1996,876.656
1-1-1997,878.706
1-1-1998,879.533
1-1-1999,882.779
1-1-2000,903.773
1-1-2001,906.961
1-1-2002,911.667
1-1-2003,919.630
1-1-2004,930.009
1-1-2005,940.102
1-1-2006,952.692
1-1-2007,964.706
1-1-2008,976.415
1-1-2009,983.982
1-1-2010,990.575
1-1-2011,997.661
1-1-2012,1.005.163
1-1-2013,1.014.864
1-1-2014,1.023.579
Date,Population,Size
